cellID,SSB,statisticalError,DSB,statisticalError
23,1e-06,1.9598e-06,0,0
28,2.58e-05,3.73485e-05,6e-07,8.76381e-07
36,4.24e-05,4.40595e-05,6e-07,8.76381e-07
37,4.16e-05,4.12054e-05,1.2e-06,1.66278e-06
44,4.28e-05,3.18627e-05,4e-07,5.54261e-07
45,4.96e-05,6.18487e-05,1.8e-06,2.799e-06
48,1.48e-05,1.83232e-05,2e-07,3.91961e-07
52,1.48e-05,2.11059e-05,4e-07,7.83922e-07
56,2.98e-05,2.70013e-05,6e-07,8.76381e-07
60,4.12e-05,6.04767e-05,2e-06,2.98487e-06
61,1.3e-05,1.61538e-05,4e-07,7.83922e-07
70,6.48e-05,0.000126995,1.6e-06,3.13569e-06
74,2.4e-06,3.99708e-06,0,0
78,7.4e-06,1.05529e-05,0,0
84,5.16e-05,9.34315e-05,1.2e-06,2.35176e-06
94,2.44e-05,4.59009e-05,1.2e-06,2.35176e-06
96,6.4e-05,0.000108897,1.8e-06,3.52765e-06
98,4.02e-05,3.82213e-05,4e-07,5.54261e-07
102,1.6e-06,3.13569e-06,0,0
103,3.46e-05,5.22567e-05,1.4e-06,2.74373e-06
105,2.64e-05,2.51874e-05,4e-07,5.54261e-07
114,1.4e-06,2.74373e-06,0,0
115,4.8e-05,5.60087e-05,8e-07,1.23941e-06
118,2.8e-06,5.48745e-06,0,0
120,0.0002112,0.000171191,4.2e-06,4.68619e-06
127,1.34e-05,2.14854e-05,2e-07,3.91961e-07
129,0.0001554,0.000119897,4.2e-06,3.93783e-06
137,1.2e-06,2.35176e-06,0,0
147,1.58e-05,1.8099e-05,2e-07,3.91961e-07
149,0.0001766,0.000310068,6.6e-06,1.14205e-05
152,4e-06,7.83922e-06,0,0
153,8.2e-06,1.60704e-05,2e-07,3.91961e-07
154,4.8e-06,9.40706e-06,0,0
157,3e-06,5.87941e-06,0,0
158,7.2e-06,1.41106e-05,4e-07,7.83922e-07
159,2.22e-05,4.35076e-05,1.2e-06,2.35176e-06
160,1.36e-05,2.0598e-05,4e-07,7.83922e-07
173,1.26e-05,2.11397e-05,0,0
175,1.38e-05,1.65387e-05,0,0
177,1.7e-05,2.44036e-05,4e-07,7.83922e-07
179,8.8e-06,1.30814e-05,2e-07,3.91961e-07
182,1.3e-05,1.91084e-05,2e-07,3.91961e-07
185,2.32e-05,3.47209e-05,4e-07,7.83922e-07
188,1.4e-05,2.74373e-05,0,0
190,2.18e-05,2.29198e-05,4e-07,5.54261e-07
194,2.74e-05,4.52777e-05,8e-07,1.56784e-06
198,4.52e-05,4.5037e-05,1.2e-06,1.66278e-06
200,0.00011,0.000114013,3.8e-06,5.27277e-06
201,6e-07,1.17588e-06,0,0
205,4.08e-05,4.48625e-05,1.2e-06,1.46635e-06
208,2.72e-05,5.33067e-05,1.6e-06,3.13569e-06
211,1e-05,1.5882e-05,0,0
214,4e-06,7.83922e-06,0,0
216,9.96e-05,9.36711e-05,1.2e-06,2.35176e-06
224,9e-06,1.76382e-05,2e-07,3.91961e-07
225,1.8e-06,2.50953e-06,0,0
227,2.74e-05,3.2814e-05,1.2e-06,1.66278e-06
232,5.98e-05,3.68044e-05,2e-07,3.91961e-07
233,2.32e-05,3.31033e-05,1e-06,1.9598e-06
234,2.46e-05,4.82112e-05,1.4e-06,2.74373e-06
239,3.46e-05,3.3297e-05,8e-07,1.56784e-06
242,2.24e-05,2.24965e-05,4e-07,7.83922e-07
245,1.3e-05,2.54775e-05,6e-07,1.17588e-06
246,9.68e-05,7.67951e-05,2.2e-06,2.50928e-06
249,1.24e-05,1.49846e-05,0,0
254,4.16e-05,3.23379e-05,4e-07,5.54261e-07
256,9.28e-05,6.66411e-05,1.8e-06,1.4125e-06
257,3.88e-05,5.85886e-05,2e-06,2.98487e-06
260,3.52e-05,4.87781e-05,8e-07,1.23941e-06
264,2.2e-06,4.31157e-06,0,0
270,2.04e-05,2.40175e-05,0,0
272,2.48e-05,4.86031e-05,4e-07,7.83922e-07
279,9.2e-06,1.2748e-05,0,0
281,7.12e-05,9.61133e-05,2.6e-06,4.34689e-06
287,6.94e-05,5.00916e-05,1.2e-06,9.59624e-07
288,7.4e-06,1.12847e-05,2e-07,3.91961e-07
291,1.18e-05,2.1981e-05,0,0
292,1.76e-05,2.48926e-05,4e-07,7.83922e-07
293,1.62e-05,3.17488e-05,4e-07,7.83922e-07
297,6.74e-05,6.24798e-05,4e-07,5.54261e-07
300,7e-06,1.37186e-05,0,0
302,6e-05,9.62757e-05,1.2e-06,2.35176e-06
303,0.000102,9.09896e-05,1.8e-06,1.79568e-06
306,2.16e-05,3.34642e-05,2e-07,3.91961e-07
307,5.2e-06,7.22669e-06,0,0
314,8.06e-05,8.04856e-05,2e-06,2.88007e-06
318,1.8e-05,2.18762e-05,4e-07,7.83922e-07
326,3.04e-05,5.36731e-05,2e-07,3.91961e-07
328,1.14e-05,1.58183e-05,0,0
339,4.3e-05,3.9473e-05,4e-07,5.54261e-07
343,4.6e-06,9.0151e-06,0,0
345,1.32e-05,1.96592e-05,0,0
346,0.0001318,0.000167345,2.4e-06,2.41553e-06
349,2.1e-05,3.05478e-05,1.8e-06,3.52765e-06
363,4.18e-05,6.9259e-05,1.2e-06,2.35176e-06
367,7.8e-05,7.01862e-05,3e-06,4.12914e-06
371,5.28e-05,0.000103478,3e-06,5.87941e-06
376,4.44e-05,3.80546e-05,4e-07,5.54261e-07
377,4e-06,7.09856e-06,0,0
379,2e-06,3.91961e-06,2e-07,3.91961e-07
384,2.8e-06,5.48745e-06,0,0
386,1.68e-05,3.29247e-05,6e-07,1.17588e-06
389,0.0001052,0.000115571,2.4e-06,2.87983e-06
395,3.2e-05,4.75127e-05,6e-07,1.17588e-06
397,7e-06,1.37186e-05,0,0
400,0.0001858,0.000154853,2.2e-06,2.56979e-06
406,7.78e-05,9.98998e-05,1.6e-06,1.75252e-06
408,1.4e-06,2.74373e-06,0,0
409,1.7e-05,2.35968e-05,0,0
410,1.94e-05,2.24336e-05,4e-07,7.83922e-07
411,0.0001014,8.19811e-05,3.6e-06,4.14734e-06
412,3.4e-06,6.66333e-06,0,0
413,5e-06,9.79902e-06,4e-07,7.83922e-07
415,1.24e-05,2.04488e-05,0,0
