cellID,ratio_DSB_Gy_Gbp,ratio_DSB_Gy_Gbp_Std,ratio_SSB_Gy_Gbp,ratio_SSB_Gy_Gbp_Std
5078,0,0,7.75884,13.2289
5089,1.95271,5.4121,159.146,441.086
5090,0,0,11.3737,29.5171
5097,0.729582,1.32315,46.8391,53.1983
5105,1.0695,1.33273,43.5152,38.8771
5106,1.83703,3.14628,103.333,116.13
5109,1.01323,1.30424,46.3834,58.6712
5111,1.10633,1.87159,91.4569,125.101
5116,0,0,105.553,292.55
5118,0.671939,1.19168,43.5081,57.7039
5121,2.14069,4.26176,61.978,94.8764
5122,1.25385,3.14388,52.1603,129.528
5125,3.02939,8.34321,74.4593,203.964
5126,0,0,68.8892,110.496
5133,4.25834,7.20895,112.58,162.677
5140,2.77125,7.66438,70.4938,194.245
5144,0,0,13.5756,22.0378
5145,0.841096,1.36651,85.7918,118.284
5148,0,0,53.027,78.6134
5151,0.161294,0.347891,13.6293,16.8273
5153,0.209792,0.223873,27.168,23.895
5155,0,0,34.5618,95.7908
5156,0.0690317,0.166803,11.0451,19.5595
5162,1.28899,3.57255,52.3332,145.046
5165,0,0,38.3558,70.8716
5166,0,0,9.63819,13.8723
5169,0,0,163.461,316.557
5170,0,0,100.749,156.118
5172,0,0,78.0623,216.356
5173,8.67625,18.8444,145.327,272.215
5174,0,0,97.9791,209.21
5175,1.18333,1.09667,50.6861,37.7015
5182,0,0,99.3564,275.374
5191,0,0,45.7023,111.745
5194,0,0,72.0841,173.193
5195,0,0,17.7587,46.5491
5197,0,0,139.939,277.472
5201,4.56623,11.596,153.425,355.935
5205,1.00369,1.71296,57.7122,86.786
5218,3.94351,4.89522,70.9831,80.2304
5221,0.601522,0.866702,53.3851,59.0839
5222,0,0,83.2278,230.673
5226,0.660891,0.633503,53.367,41.3671
5229,5.31867,14.7411,239.34,663.351
5230,0.731468,0.733987,42.819,35.7667
5231,2.34246,5.21369,79.6438,143.651
5236,0,0,143.91,398.86
5245,0,0,101.708,281.893
5246,1.39627,0.897028,72.4826,30.2901
5248,1.76201,2.14655,52.4623,57.0783
5251,0,0,90.4121,169.834
5254,0,0,278.942,773.112
5260,1.94235,1.94341,67.0857,47.2983
5262,0.345888,0.778698,41.1607,66.4627
5271,0.716945,0.937062,37.734,40.8075
5280,0.764089,2.11774,33.6199,93.1804
5288,0.242229,0.438972,34.7599,50.9812
5295,0.298714,0.402552,20.5117,21.3879
5303,1.01204,1.55355,31.8331,42.97
5307,0,0,68.227,165.69
5308,0.694592,1.53844,56.2619,101.132
5311,1.52045,1.77302,60.4033,83.3179
5312,0.659137,0.955181,27.3071,36.6868
5324,0,0,272.632,755.621
5334,1.21236,1.55609,58.1935,62.4753
5338,8.38397,19.1792,132.28,287.133
5356,7.80673,17.0171,126.469,254.912
5357,0,0,29.0981,50.9324
5364,0,0,130.286,297.533
5379,0.732024,1.15277,105.777,103.076
5382,0.221769,0.27786,19.3826,17.6637
5384,0,0,194.111,537.995
5389,0,0,73.2584,203.041
5392,0.188127,0.49052,11.4758,25.3461
5395,0.40798,0.662119,39.1661,51.4763
5401,4.93345,13.6735,177.604,492.244
5409,8.78927,24.3602,146.488,406.003
5421,2.34858,6.01292,77.1118,191.929
5428,0.840609,1.89015,122.729,194.599
5440,0,0,1.19009,3.2314
5447,1.377,1.42949,55.1861,52.0462
5449,5.31979,14.7442,258.01,715.095
5453,0,0,65.2779,123.183
5461,0,0,139.635,241.49
5466,0.499614,1.17721,54.9575,115.396
5468,0,0,10.1565,18.4295
5470,0.884951,1.05148,33.6281,33.2748
5477,0.377659,0.832086,43.0531,58.1258
5493,0,0,59.6963,77.079
5499,0.935385,0.54862,50.5895,16.8091
5503,3.32686,6.44453,108.955,201.179
5514,1.18087,2.60208,57.8625,95.9906
5519,1.62187,2.78051,38.1139,62.9438
5522,0.367066,0.418454,11.0787,9.19978
5523,3.48033,7.90331,71.0981,161.453
5526,0,0,140.551,389.548
5528,0,0,40.6392,81.3916
5529,0,0,18.4847,43.1967
5534,0.95008,1.04493,46.5539,47.0428
5535,0.424315,0.544878,26.9971,25.6542
5536,0,0,215.368,596.909
5539,1.91066,4.47093,40.7608,93.332
5543,1.35536,3.7565,47.4377,131.477
5546,0.491059,1.08365,61.8735,101.034
5548,0.928217,1.44226,48.3999,62.1498
5549,4.69971,12.6967,111.084,290.839
5551,1.29724,1.349,52.6877,40.2007
5553,0.736187,0.925707,45.1082,29.6595
5555,0,0,192.57,533.724
5563,0.34807,0.855976,35.8512,70.402
5567,0.331382,0.279636,36.5845,17.6812
5575,7.82082,21.676,113.402,314.303
5581,18.6383,51.6577,192.596,533.796
5582,0,0,12.1662,31.913
5583,0.973688,2.45063,37.0001,76.7907
5584,0.804683,1.98441,76.4449,149.502
5592,0,0,139.11,385.554
5593,0.732394,0.836839,46.507,38.8965
5603,1.17783,2.00254,126.028,175.639
5604,1.28674,0.547321,54.5442,17.7089
5609,0.672237,1.44505,21.5116,35.4822
5615,0.296299,0.445116,32.5188,39.1749
5616,0.559392,1.06304,21.8163,28.5181
5617,0,0,88.5566,245.442
5629,0.173826,0.412626,41.1967,92.9957
5631,0.701013,1.50781,103.75,142.103
5633,1.32481,0.782856,57.5051,26.6876
5637,1.30511,0.905331,66.8356,33.766
5657,0.987671,2.38333,43.9514,86.3176
5659,1.62349,3.90601,14.7918,35.5881
5662,0.747742,1.40597,21.0614,41.7437
