cellID,totalCellDose,statisticalError,nucleusDose,statisticalError
2156,1.70133e-08,2.74442e-08,5.44294e-08,7.54244e-08
2173,6.69189e-09,1.31148e-08,5.35351e-08,1.04918e-07
2179,4.82792e-07,3.35917e-07,9.72335e-07,6.34199e-07
2198,1.81132e-08,2.7221e-08,4.20399e-08,8.23899e-08
2199,7.52729e-08,9.7684e-08,8.18711e-08,9.71504e-08
2203,5.31139e-07,5.65292e-07,1.03846e-06,1.04847e-06
2211,8.59752e-09,1.68495e-08,6.87802e-08,1.34796e-07
2251,1.34311e-06,5.43262e-07,3.16298e-06,1.44084e-06
2277,3.4183e-08,5.30927e-08,6.75049e-08,1.32296e-07
2285,1.48312e-07,1.25194e-07,3.33692e-07,2.76443e-07
2295,1.08697e-07,9.72425e-08,3.60535e-07,2.46271e-07
2310,4.34193e-07,1.98807e-07,1.16023e-06,5.78432e-07
2331,0,0,0,0
2381,5.37072e-08,6.27174e-08,9.66406e-08,1.89397e-07
2386,5.18871e-09,1.01689e-08,4.15097e-08,8.13508e-08
2403,4.22636e-08,5.87998e-08,0,0
2414,8.04711e-08,9.30307e-08,1.49632e-07,1.96689e-07
2431,1.31778e-08,1.9683e-08,3.15023e-08,6.17384e-08
2437,1.00906e-07,1.89398e-07,8.07248e-07,1.51519e-06
2439,1.61929e-08,1.85861e-08,7.59158e-08,1.05208e-07
2440,1.97475e-08,2.95287e-08,1.5798e-07,2.36229e-07
2443,4.10136e-07,3.86312e-07,7.8179e-07,7.61399e-07
2453,3.40842e-07,4.48329e-07,5.67626e-07,3.75467e-07
2466,2.02003e-07,1.2126e-07,7.33981e-07,5.87982e-07
2468,2.30247e-07,3.67934e-07,3.41522e-07,3.00175e-07
2473,1.17147e-07,1.30611e-07,7.66326e-07,7.50782e-07
2496,1.5915e-08,1.82396e-08,1.2732e-07,1.45917e-07
2498,2.41636e-08,3.99345e-08,3.38387e-08,6.63171e-08
2529,8.50458e-08,1.66673e-07,0,0
2532,3.1723e-08,5.04613e-08,5.93035e-08,1.08786e-07
2543,3.50327e-08,4.2454e-08,2.80262e-07,3.39632e-07
2568,5.46941e-07,3.14225e-07,1.15096e-06,6.77338e-07
2575,1.46584e-07,1.25336e-07,5.38385e-07,4.6938e-07
2583,2.84309e-07,1.83656e-07,5.71021e-07,3.94834e-07
2591,3.94488e-09,7.73118e-09,3.1559e-08,6.18495e-08
2594,1.88717e-08,2.89521e-08,3.96212e-08,7.76499e-08
2597,1.15053e-07,1.18546e-07,2.95222e-07,3.85984e-07
2599,5.08116e-09,9.95808e-09,4.06493e-08,7.96647e-08
2606,6.14906e-08,4.67743e-08,3.71845e-07,2.91048e-07
2612,5.07068e-08,9.15821e-08,3.32911e-08,6.5244e-08
2629,2.94214e-08,5.29885e-08,1.20148e-07,2.00151e-07
2657,7.49371e-08,7.30762e-08,3.8331e-07,4.99145e-07
2658,4.56802e-08,8.92959e-08,4.03975e-08,7.73639e-08
2659,3.08909e-08,6.05402e-08,0,0
2668,8.13196e-07,4.54632e-07,1.40299e-06,7.43899e-07
2677,2.90138e-07,3.51621e-07,1.68735e-07,1.67884e-07
2678,7.75636e-07,5.80388e-07,3.04762e-06,1.83098e-06
2714,1.32598e-08,1.87793e-08,4.18308e-08,8.19803e-08
2718,6.37602e-08,1.19505e-07,2.27858e-08,4.46556e-08
2727,4.81441e-09,9.4353e-09,3.85153e-08,7.54824e-08
2732,4.49764e-08,6.24942e-08,0,0
2747,9.56679e-08,8.47963e-08,2.2748e-07,2.597e-07
2749,2.59294e-08,5.08166e-08,0,0
2836,3.85086e-08,4.47694e-08,2.71346e-07,3.50871e-07
2847,5.55594e-09,7.61917e-09,4.44475e-08,6.09534e-08
2856,2.06075e-08,2.43338e-08,9.89443e-08,1.45666e-07
2858,9.11462e-08,1.11783e-07,3.18542e-07,6.2428e-07
2859,2.98102e-07,1.94457e-07,6.29561e-07,4.08333e-07
2863,3.98446e-07,2.58281e-07,1.11944e-06,8.93362e-07
2911,4.92351e-08,4.51762e-08,1.75243e-07,1.94981e-07
2923,1.58155e-08,2.98142e-08,1.26524e-07,2.38514e-07
2940,1.58608e-07,1.93416e-07,2.91393e-07,2.97393e-07
2953,1.64933e-07,2.00444e-07,1.01742e-07,1.34728e-07
2988,1.12565e-07,1.14878e-07,2.66501e-07,2.64971e-07
3022,2.17386e-08,3.605e-08,8.30592e-08,1.17415e-07
3065,1.15191e-08,2.25753e-08,0,0
3071,6.46611e-08,1.15753e-07,4.71284e-08,9.23624e-08
3075,2.39896e-07,1.40439e-07,9.46827e-07,5.64363e-07
3097,2.66854e-08,5.22982e-08,0,0
3107,1.5687e-07,2.64513e-07,2.20454e-07,3.81146e-07
3127,1.84466e-08,3.61517e-08,0,0
3132,4.72028e-08,9.25082e-08,0,0
3133,3.03035e-08,4.63288e-08,6.47167e-08,1.26832e-07
3150,1.91343e-08,3.74994e-08,0,0
3158,1.2747e-08,2.49816e-08,1.01976e-07,1.99853e-07
3179,1.64087e-07,3.11186e-07,4.31419e-08,8.45497e-08
3180,2.31219e-09,4.53144e-09,1.84975e-08,3.62515e-08
3181,1.24528e-07,1.4024e-07,4.58166e-08,8.97915e-08
3188,3.16759e-08,6.20786e-08,0,0
3215,1.18744e-07,2.32714e-07,0,0
3216,4.69954e-06,1.10873e-06,1.11131e-05,2.92772e-06
3278,3.98427e-09,7.80838e-09,3.18741e-08,6.24671e-08
3289,1.35424e-08,2.65404e-08,1.08339e-07,2.12323e-07
3293,2.62494e-07,3.41568e-07,6.11217e-07,1.1449e-06
3346,1.21575e-08,2.38262e-08,0,0
3353,6.08787e-09,1.1931e-08,0,0
3405,6.27487e-08,5.35977e-08,3.95973e-07,3.06065e-07
3413,3.71581e-09,7.28226e-09,2.97265e-08,5.82581e-08
3414,2.05218e-07,1.16703e-07,8.6501e-07,6.37587e-07
3441,2.96047e-07,1.87706e-07,6.4151e-07,4.3748e-07
3446,3.34578e-08,6.55707e-08,0,0
3449,3.74307e-06,9.26979e-07,1.11742e-05,3.14558e-06
3481,1.54879e-07,1.59934e-07,2.39509e-07,3.51183e-07
3500,7.05231e-08,6.92804e-08,3.25161e-07,2.96426e-07
3503,2.63095e-08,3.76571e-08,2.10476e-07,3.01257e-07
3519,1.00901e-07,1.29614e-07,2.1185e-07,2.46627e-07
3528,8.0494e-09,1.15213e-08,6.43952e-08,9.21707e-08
3540,4.19632e-07,1.96885e-07,1.63145e-06,9.5911e-07
3554,3.14638e-08,4.79119e-08,6.85098e-08,1.34266e-07
3560,1.29986e-07,2.21182e-07,1.03039e-07,1.55448e-07
3563,2.15864e-07,1.69487e-07,8.32536e-07,6.92679e-07
3568,1.80226e-07,2.30451e-07,7.56099e-08,1.18309e-07
3573,2.37254e-08,4.64972e-08,0,0
3589,2.18944e-07,1.34995e-07,6.39849e-07,4.04526e-07
3594,1.26095e-08,2.47122e-08,0,0
3595,1.71458e-08,3.36024e-08,0,0
3599,2.29643e-08,4.50055e-08,4.4081e-08,8.639e-08
3622,8.17403e-08,8.80996e-08,2.745e-07,4.67778e-07
3626,6.95767e-08,7.40005e-08,2.18246e-07,2.57162e-07
3627,2.19837e-07,1.39028e-07,4.97963e-07,3.59656e-07
3631,3.91056e-07,5.29602e-07,4.70034e-07,5.80414e-07
3633,6.73416e-09,1.31976e-08,5.38732e-08,1.05581e-07
3659,4.12572e-08,5.83257e-08,3.30058e-07,4.66606e-07
3664,8.58456e-09,1.25198e-08,6.86765e-08,1.00158e-07
