cellID,DSBDimension
0,2.47987
0,0.57561
0,1.33068
0,2.00367
0,1.33068
0,1.74174
0,0.00823344
0,0.179612
0,2.57049
0,3.46033
0,2.4496
0,0.00823344
0,2.4496
0,0.179612
0,0.00823344
0,2.8582
0,0.00823344
0,2.4496
0,0.931005
0,0
0,2.25467
0,2.34022
0,0.928087
0,0.134103
0,1.01307
0,2.25723
0,2.97684
0,1.87975
0,2.09775
0,1.96407
0,3.52509
0,2.18754
0,2.50517
0,0.718302
0,1.0449
0,1.10365
0,0.314966
0,2.50517
0,5.33088
0,2.38646
0,1.22448
0,1.08404
0,1.08404
0,1.87269
0,0.874956
0,2.22826
0,1.31644
0,2.44796
0,3.14701
0,2.90277
0,2.69224
0,2.50662
0,2.65433
0,1.99563
0,2.80515
0,0.219259
0,0.349684
0,3.16287
0,2.46852
0,1.51335
0,2.89888
0,1.0629
0,1.02534
0,1.4551
0,0.000869317
0,0.355536
0,0.527034
0,0
0,0.554571
0,4.47493
0,0.864382
0,0.757652
0,4.68826
0,2.31665
0,1.28139
0,2.81617
0,2.89541
0,0.0433917
0,2.16259
0,0.276931
0,0.904809
0,3.54092
0,0.743168
0,3.54092
0,3.04369
0,2.74476
0,2.60168
0,2.93078
0,1.06428
0,0
0,2.94575
0,0
0,0
0,2.66664
0,1.09806
0,1.09806
0,0.559289
0,3.07916
0,0.208333
0,2.72313
0,1.71956
0,1.04844
0,0.424824
0,1.11427
0,1.92614
0,1.06295
0,1.07279
0,2.94237
0,2.5652
0,1.94543
0,1.34085
0,3.01673
0,1.92558
0,1.39588
0,0.514086
0,0.836547
0,3.12161
0,2.00281
0,2.8235
0,1.25415
0,3.07297
0,3.02057
0,1.24609
0,2.15224
0,0
0,0
0,1.37041
0,3.02057
0,1.96077
0,0
0,1.25664
0,2.08884
0,0.741994
0,0.570204
0,1.10332
0,1.65338
0,1.65338
0,2.88947
0,3.59407
0,3.59407
0,3.2085
0,3.19177
0,1.13325
0,2.33379
0,2.33379
0,2.11898
0,2.11898
0,2.63879
0,1.14052
0,4.26907
0,2.74961
0,3.1387
0,3.63268
0,2.18647
0,2.16568
0,0.867157
0,1.24114
0,0
0,0.89037
0,0
0,2.32479
0,0.818644
0,1.35243
0,1.26807
0,0.0615329
0,0
0,1.79986
0,0
0,1.29301
0,0.668914
0,2.57919
0,2.9225
0,1.9618
0,3.71246
0,2.6485
0,2.01552
0,0.935
0,2.44182
0,1.39122
0,2.44182
0,3.17958
0,2.12812
0,2.10636
0,0.521601
0,2.88771
0,1.85843
0,0
0,0.00710278
0,1.32502
0,2.98131
0,2.32573
0,2.48108
0,2.11143
0,0.53676
0,2.1034
0,0.735773
0,1.59694
0,2.30341
0,2.85391
0,0.441721
0,0.562145
0,1.49569
0,2.3683
0,2.81289
0,2.81289
0,2.53463
0,0.600818
0,1.07841
0,1.52737
0,3.69556
0,1.2975
0,2.24732
0,2.41533
0,1.3803
0,3.8935
0,0.81442
0,0.81442
0,2.13246
0,2.41533
0,0.81442
0,2.13246
0,0.213201
0,0.213201
0,1.24444
0,3.02603
0,2.07491
0,0.834961
0,2.37308
0,1.07875
0,0.433107
0,0.994141
0,1.31715
0,1.40249
0,3.01289
0,1.55408
0,2.97557
0,0.655798
0,1.52201
0,0.938791
0,0.683443
0,2.98065
0,1.18107
0,0.302595
0,1.53429
0,2.18076
0,1.53429
0,1.0105
0,0.683443
0,2.57987
0,2.18076
0,2.09833
0,2.78708
0,2.904
0,2.4942
0,1.67014
0,0.513661
0,1.26467
0,2.03005
0,2.57453
0,1.26467
0,1.13397
0,2.87771
0,2.01756
0,1.21132
0,1.01238
0,1.67944
0,2.26832
0,3.13271
0,0
0,0.21384
0,0.659701
0,2.58112
0,3.11909
0,1.84849
0,1.66045
0,0.416003
0,1.61176
0,2.1186
0,1.86107
0,2.10187
0,1.61064
0,0.908767
