cellID,SSB,statisticalError,DSB,statisticalError
3093,6.2e-06,1.21508e-05,0,0
3138,0.0010782,0.0003563,2.2e-05,9.5021e-06
3143,0.0001178,0.000182588,1.6e-06,3.13569e-06
3185,0.0001898,0.000191279,4.2e-06,4.58677e-06
3204,1.4e-06,2.74373e-06,0,0
3216,5.8e-06,8.80764e-06,0,0
3256,3.02e-05,4.88609e-05,8e-07,1.56784e-06
3262,0.0012064,0.000379421,2.78e-05,1.34264e-05
3269,0.0002126,0.000108389,3e-06,2.6283e-06
3273,0.0001666,9.4655e-05,4.6e-06,4.2018e-06
3280,5e-06,9.79902e-06,0,0
3293,6.66e-05,4.82444e-05,2e-06,2.21679e-06
3340,0.0001738,0.000125266,4e-06,3.59103e-06
3384,1.74e-05,3.22001e-05,0,0
3400,1.04e-05,1.47481e-05,0,0
3412,1.1e-05,2.15578e-05,0,0
3414,8.8e-06,1.72463e-05,0,0
3488,2e-06,3.91961e-06,0,0
3500,4.02e-05,4.06678e-05,6e-07,1.17588e-06
3520,1.26e-05,2.46935e-05,4e-07,7.83922e-07
3534,5.1e-05,5.0609e-05,8e-07,9.59944e-07
3542,2.64e-05,3.01726e-05,8e-07,1.23941e-06
3561,8.22e-05,0.000161096,3e-06,5.87941e-06
3562,4.1e-05,3.70696e-05,1.2e-06,1.23917e-06
3587,3.96e-05,5.90089e-05,4e-07,5.54261e-07
3591,4.48e-05,4.61795e-05,4e-07,7.83922e-07
3596,1.26e-05,2.14571e-05,4e-07,7.83922e-07
3641,6.58e-05,8.22503e-05,2e-06,3.91961e-06
3642,1.66e-05,2.0254e-05,0,0
3643,5.18e-05,4.99882e-05,1e-06,1.4131e-06
3693,4e-06,7.83922e-06,0,0
3715,4.26e-05,3.58887e-05,2e-07,3.91961e-07
3721,5.34e-05,5.49202e-05,6e-07,6.7876e-07
3724,1.62e-05,3.17488e-05,6e-07,1.17588e-06
3764,2.6e-06,5.09549e-06,0,0
3775,4.6e-06,9.0151e-06,0,0
3790,0.0001834,9.33625e-05,3.4e-06,2.56879e-06
3794,1.24e-05,1.73777e-05,2e-07,3.91961e-07
3806,8.4e-06,1.64624e-05,0,0
3816,1.96e-05,2.42663e-05,0,0
3820,9.8e-06,1.35822e-05,2e-07,3.91961e-07
3832,3.68e-05,4.62481e-05,1.8e-06,2.85337e-06
3874,2.82e-05,5.52665e-05,6e-07,1.17588e-06
3885,4.14e-05,3.62646e-05,4e-07,7.83922e-07
3894,0.0001224,0.000189025,3.4e-06,4.84786e-06
3901,6.6e-06,1.29347e-05,2e-07,3.91961e-07
3905,1.38e-05,1.92202e-05,2e-07,3.91961e-07
3932,1.04e-05,1.46749e-05,4e-07,7.83922e-07
3934,0.0003698,0.000184923,8.2e-06,5.41278e-06
3978,5.22e-05,4.34172e-05,6e-07,8.76381e-07
3979,1.32e-05,2.00922e-05,0,0
3993,1.76e-05,2.75195e-05,4e-07,7.83922e-07
4063,0.0001116,7.86287e-05,3.2e-06,3.5486e-06
4071,0.0001088,7.89146e-05,1.8e-06,1.79568e-06
4072,5.44e-05,9.59201e-05,1.8e-06,3.52765e-06
4073,0.0005088,0.000315658,1.24e-05,9.36897e-06
4077,3.8e-06,7.44726e-06,0,0
4078,0.000105,0.000101823,4e-06,5.65242e-06
4086,1.6e-05,1.59459e-05,6e-07,8.76381e-07
4113,0.0001626,0.000144378,4e-06,5.96974e-06
4121,3.38e-05,3.79437e-05,6e-07,8.76381e-07
4127,4.04e-05,4.14443e-05,6e-07,6.7876e-07
4137,0.000215,0.000150632,3.2e-06,3.75889e-06
4139,1.06e-05,1.56036e-05,0,0
4144,2.54e-05,3.0313e-05,2e-07,3.91961e-07
4158,7.16e-05,6.60428e-05,1.4e-06,1.79595e-06
4167,4e-07,7.83922e-07,0,0
4169,1.5e-05,2.13122e-05,0,0
4189,2.24e-05,3.10436e-05,4e-07,7.83922e-07
4195,1.06e-05,2.07739e-05,0,0
4206,7.6e-06,1.48945e-05,0,0
4233,5.44e-05,8.31402e-05,1.6e-06,3.13569e-06
4251,1.4e-06,2.74373e-06,0,0
4267,1.46e-05,2.32041e-05,8e-07,1.56784e-06
4320,0.0003178,0.000112741,6.4e-06,3.7146e-06
4337,3.74e-05,7.32967e-05,0,0
4338,4.6e-05,6.41198e-05,6e-07,8.76381e-07
4340,5.56e-05,5.74418e-05,2e-06,2.41581e-06
4359,0.0007164,0.00019429,1.48e-05,6.49946e-06
4399,0.0002776,0.000135794,2.8e-06,1.91883e-06
4416,9.72e-05,0.000175869,3.4e-06,6.66333e-06
4420,5.56e-05,0.000108965,2.4e-06,4.70353e-06
4426,0.0002974,0.000147754,7.4e-06,6.03128e-06
4429,6.86e-05,4.82518e-05,1e-06,1.03676e-06
4435,5.8e-06,1.13669e-05,0,0
4448,0.0001548,8.78729e-05,3.6e-06,2.98371e-06
4449,5e-06,7.96518e-06,0,0
4457,6.36e-05,4.78011e-05,1e-06,1.29982e-06
4460,0.0001366,6.98351e-05,1.8e-06,1.70796e-06
4476,4.4e-06,6.31963e-06,0,0
4482,6.12e-05,3.44766e-05,4e-07,7.83922e-07
4491,4.38e-05,3.88958e-05,8e-07,1.56784e-06
4513,6.08e-05,8.60755e-05,1.4e-06,2.74373e-06
4518,1.98e-05,3.88041e-05,0,0
4522,3.8e-06,7.44726e-06,0,0
4532,1.46e-05,2.22023e-05,2e-07,3.91961e-07
4533,1.1e-05,2.11694e-05,0,0
4539,5.24e-05,0.000102694,2.6e-06,5.09549e-06
4547,3.6e-06,7.05529e-06,0,0
4553,0.000361,0.000135713,7e-06,5.24101e-06
4554,5e-05,5.33401e-05,6e-07,8.76381e-07
4568,0.000136,9.38474e-05,2.2e-06,2.44728e-06
4574,1.94e-05,3.80202e-05,4e-07,7.83922e-07
4587,0.0001458,8.22366e-05,1.4e-06,1.29954e-06
4607,3.48e-05,2.67134e-05,1e-06,1.29982e-06
4608,6.88e-05,4.93116e-05,8e-07,1.23941e-06
4614,4.86e-05,5.30768e-05,1.4e-06,1.95962e-06
4618,0.0003034,0.000106242,6.4e-06,3.75574e-06
4621,4.72e-05,3.34853e-05,1.2e-06,1.66278e-06
4643,3.06e-05,3.86956e-05,1e-06,1.9598e-06
4652,8.94e-05,6.43681e-05,2.4e-06,3.63465e-06
4653,2.56e-05,4.07015e-05,0,0
4664,1.16e-05,2.27337e-05,8e-07,1.56784e-06
4672,0.0001408,0.000139887,3.4e-06,4.16595e-06
4683,2e-06,3.91961e-06,0,0
4686,6.2e-06,1.21508e-05,0,0
4694,2.24e-05,2.31429e-05,2e-07,3.91961e-07
4703,0.000212,0.000109229,6.8e-06,5.04705e-06
4706,5e-06,9.79902e-06,2e-07,3.91961e-07
4712,9.26e-05,6.85766e-05,1.8e-06,2.11039e-06
4713,1.28e-05,2.50855e-05,0,0
4717,2e-07,3.91961e-07,0,0
4727,6e-06,1.17588e-05,6e-07,1.17588e-06
4740,1.04e-05,1.19894e-05,0,0
4747,3.2e-06,4.46861e-06,0,0
4774,7e-06,8.30406e-06,0,0
4778,3.4e-06,6.66333e-06,0,0
4784,6.76e-05,5.45953e-05,1.8e-06,2.799e-06
4786,5.8e-06,1.13669e-05,0,0
4803,1.8e-05,2.49971e-05,0,0
4809,2.6e-06,5.09549e-06,0,0
4814,0.000107,6.75467e-05,1.6e-06,1.75252e-06
4819,5.8e-06,9.31635e-06,0,0
4829,0.0001652,0.00016592,5e-06,5.03342e-06
4831,7.2e-06,1.41106e-05,0,0
4832,8.1e-05,5.58269e-05,1.4e-06,1.79595e-06
4839,5e-05,3.49243e-05,2e-07,3.91961e-07
4850,2.94e-05,4.41077e-05,6e-07,1.17588e-06
4855,2.02e-05,2.32868e-05,4e-07,7.83922e-07
4858,1.34e-05,2.62614e-05,8e-07,1.56784e-06
4861,9.42e-05,5.94712e-05,3.6e-06,3.13441e-06
4871,4.12e-05,4.0453e-05,4e-07,7.83922e-07
4896,6.6e-06,1.29347e-05,0,0
4904,5.8e-06,1.13669e-05,0,0
4906,1.08e-05,1.96603e-05,0,0
4916,3.6e-06,7.05529e-06,0,0
4931,8.6e-06,1.05231e-05,0,0
4944,5.6e-05,5.39457e-05,1.4e-06,2.11063e-06
4948,5.86e-05,5.04415e-05,2.4e-06,2.9327e-06
4962,1.4e-06,2.74373e-06,0,0
4966,4.02e-05,5.45133e-05,2e-07,3.91961e-07
4974,9.2e-06,1.80302e-05,0,0
4980,4.4e-06,8.24043e-06,0,0
4985,1.14e-05,1.70344e-05,2e-07,3.91961e-07
4989,6.22e-05,4.21097e-05,8e-07,1.23941e-06
4993,1.74e-05,2.91335e-05,0,0
5005,1.52e-05,1.83816e-05,0,0
