cellID,SSB,statisticalError,DSB,statisticalError
2403,9.74e-05,9.58691e-05,3e-06,3.43878e-06
2405,7.6e-06,1.48945e-05,0,0
2409,6.78e-05,7.27707e-05,2.6e-06,3.06077e-06
2411,2.24e-05,3.11177e-05,2e-07,3.91961e-07
2414,2.2e-05,3.83591e-05,6e-07,1.17588e-06
2431,9.2e-06,1.80302e-05,0,0
2437,0.0001106,0.00020533,2e-06,3.54928e-06
2446,3.56e-05,3.79728e-05,6e-07,8.76381e-07
2452,5.4e-06,1.05829e-05,0,0
2461,2.2e-05,2.65508e-05,6e-07,8.76381e-07
2541,3.66e-05,3.67986e-05,8e-07,9.59944e-07
2595,7.6e-06,1.06615e-05,2e-07,3.91961e-07
2599,5.58e-05,5.52504e-05,1.6e-06,2.14661e-06
2606,5e-06,9.79902e-06,0,0
2618,4.22e-05,3.7624e-05,0,0
2619,2.6e-06,5.09549e-06,0,0
2656,4e-06,7.83922e-06,0,0
2657,0.0001728,0.000115958,3e-06,3.25513e-06
2676,1.06e-05,2.07739e-05,2e-07,3.91961e-07
2678,7.4e-05,5.7023e-05,1.6e-06,1.83811e-06
2682,0.000209,0.000247002,4e-06,4.46811e-06
2689,1e-06,1.61602e-06,0,0
2732,7e-06,1.37186e-05,2e-07,3.91961e-07
2754,3.9e-05,3.06899e-05,0,0
2759,3.02e-05,5.91861e-05,8e-07,1.56784e-06
2760,9.4e-06,1.16058e-05,6e-07,1.17588e-06
2792,1.4e-06,2.74373e-06,0,0
2807,8.26e-05,6.1686e-05,1.8e-06,2.799e-06
2849,7.2e-06,1.41106e-05,0,0
2881,3.7e-05,3.5558e-05,4e-07,5.54261e-07
2899,1.44e-05,1.74647e-05,2e-07,3.91961e-07
2911,1.98e-05,2.80849e-05,0,0
2975,5.2e-06,1.0191e-05,2e-07,3.91961e-07
2991,0.0001114,6.00092e-05,1.8e-06,1.51739e-06
3004,1.72e-05,3.37086e-05,0,0
3035,2e-05,3.91961e-05,1.6e-06,3.13569e-06
3067,2.8e-05,2.66966e-05,0,0
3075,1e-05,1.9598e-05,8e-07,1.56784e-06
3087,1.2e-05,2.35176e-05,0,0
3097,5.4e-06,1.05829e-05,0,0
3121,0.0002262,9.98402e-05,2.6e-06,2.31798e-06
3127,6e-05,4.99273e-05,6e-07,8.76381e-07
3132,0.0002864,0.000113955,5.8e-06,4.05169e-06
3139,0.0002298,0.000183478,5.4e-06,4.27359e-06
3148,1.34e-05,2.62614e-05,2e-07,3.91961e-07
3149,0.0003892,0.000149273,7.6e-06,4.253e-06
