cellID,SSB,statisticalError,DSB,statisticalError
6,2.4e-06,4.70353e-06,0,0
8,8e-07,1.56784e-06,0,0
14,1.3e-05,1.84205e-05,2e-07,3.91961e-07
17,7.6e-06,1.48945e-05,4e-07,7.83922e-07
30,0.0001384,8.52329e-05,1.8e-06,1.79568e-06
95,5.3e-05,4.27603e-05,1e-06,1.17567e-06
116,0.000181,0.000109384,3e-06,3.3938e-06
143,9.6e-06,1.54009e-05,0,0
206,3.88e-05,4.33519e-05,1.6e-06,2.14661e-06
214,9.64e-05,6.74964e-05,1.8e-06,2.31857e-06
225,0.0001912,0.000101085,2.6e-06,1.95867e-06
233,5.2e-06,1.0191e-05,0,0
295,4.2e-06,8.23118e-06,0,0
296,6.7e-05,5.98035e-05,2.8e-06,3.46118e-06
312,5.6e-06,7.16238e-06,0,0
314,0.000198,0.000171409,6.8e-06,6.14539e-06
344,0.0002224,0.000142438,4.8e-06,4.79916e-06
349,2.28e-05,4.46835e-05,8e-07,1.56784e-06
370,0.000154,8.0433e-05,1.8e-06,1.61549e-06
389,3.6e-06,7.05529e-06,0,0
401,3.28e-05,4.2137e-05,8e-07,1.56784e-06
410,0.00022,0.000114464,5e-06,4.34528e-06
433,3.04e-05,3.0134e-05,0,0
452,0.000773,0.000282813,1.78e-05,8.47496e-06
454,7.2e-06,1.41106e-05,0,0
534,3e-06,5.87941e-06,2e-07,3.91961e-07
556,0.0002184,0.000112301,6.2e-06,4.65157e-06
570,6.32e-05,6.97298e-05,2.8e-06,3.18368e-06
573,2e-06,3.91961e-06,0,0
611,1.8e-06,3.52765e-06,0,0
625,1.02e-05,1.52854e-05,4e-07,7.83922e-07
631,6.2e-05,4.35434e-05,4e-07,5.54261e-07
647,6.2e-06,1.21508e-05,0,0
655,0.0001198,6.7373e-05,2.6e-06,2.18137e-06
704,9.6e-06,1.88141e-05,0,0
770,6.4e-06,8.93721e-06,0,0
772,4.42e-05,3.86299e-05,6e-07,8.76381e-07
782,1e-05,1.70756e-05,0,0
816,0.0001424,7.47299e-05,2.8e-06,2.98437e-06
823,7.92e-05,6.02822e-05,1e-06,1.29982e-06
863,2.66e-05,5.21308e-05,1.2e-06,2.35176e-06
886,0.0004142,0.000172511,1.08e-05,5.83299e-06
909,0.0002204,0.000235105,3.6e-06,4.50263e-06
1017,4.6e-05,4.86987e-05,4e-07,5.54261e-07
1045,3.6e-06,7.05529e-06,0,0
1059,2.08e-05,2.95793e-05,6e-07,8.76381e-07
1207,5.8e-06,1.13669e-05,0,0
1232,0.0001492,8.74562e-05,4.8e-06,5.37319e-06
1246,1.02e-05,1.25101e-05,0,0
1288,8e-06,1.56784e-05,0,0
1375,1.8e-05,2.66629e-05,0,0
1376,2.02e-05,2.18361e-05,4e-07,7.83922e-07
1413,7.1e-05,8.51586e-05,2e-06,2.41581e-06
1415,3.2e-06,6.27137e-06,0,0
1461,7e-06,1.37186e-05,0,0
1472,5.2e-06,1.0191e-05,0,0
1537,8.4e-06,1.64624e-05,0,0
1554,6.4e-06,1.25427e-05,2e-07,3.91961e-07
1564,4.12e-05,3.69469e-05,4e-07,7.83922e-07
1603,1.26e-05,1.75667e-05,0,0
1684,0.0001212,8.39782e-05,1.6e-06,1.66252e-06
1704,4.5e-05,4.85271e-05,1.8e-06,2.03628e-06
1735,2.8e-06,5.48745e-06,0,0
1759,3.1e-05,3.64459e-05,8e-07,1.10852e-06
1819,1.82e-05,2.05915e-05,0,0
1867,7e-06,1.37186e-05,0,0
2052,1.38e-05,1.48342e-05,0,0
2076,8.4e-05,6.1636e-05,1.6e-06,1.66252e-06
2088,9.2e-06,1.80302e-05,2e-07,3.91961e-07
2098,1.3e-05,1.80327e-05,6e-07,8.76381e-07
2111,4.58e-05,7.73647e-05,1e-06,1.61602e-06
2124,2.26e-05,3.13758e-05,1e-06,1.4131e-06
2173,6.38e-05,4.42711e-05,1e-06,1.29982e-06
2184,4.46e-05,6.836e-05,2.4e-06,4.32927e-06
2197,1.26e-05,2.46935e-05,4e-07,7.83922e-07
2198,8.64e-05,4.92029e-05,1.4e-06,1.41284e-06
2226,5.6e-06,1.09749e-05,0,0
2235,1.88e-05,2.04751e-05,6e-07,8.76381e-07
2240,3.6e-05,3.27209e-05,8e-07,1.56784e-06
2247,2.74e-05,2.81347e-05,8e-07,1.56784e-06
2259,7.2e-05,5.24754e-05,6e-07,8.76381e-07
2285,1.32e-05,2.58694e-05,2e-07,3.91961e-07
2292,1.2e-06,2.35176e-06,0,0
2342,2.2e-06,4.31157e-06,0,0
2370,5.28e-05,5.28489e-05,8e-07,1.23941e-06
2390,1.48e-05,2.08716e-05,0,0
2410,1.18e-05,2.31257e-05,0,0
2435,8.44e-05,5.54931e-05,2.4e-06,3.18393e-06
2453,2.3e-05,4.50755e-05,1e-06,1.9598e-06
2468,1.92e-05,1.92845e-05,0,0
2487,2.08e-05,2.44044e-05,2e-07,3.91961e-07
2488,5.76e-05,3.94061e-05,8e-07,9.59944e-07
2492,2.32e-05,2.83417e-05,4e-07,7.83922e-07
2501,0.0001072,9.37991e-05,2.8e-06,3.37122e-06
2518,7.8e-06,1.34696e-05,0,0
2523,3.14e-05,3.02579e-05,1e-06,1.17567e-06
2532,2.56e-05,2.51208e-05,8e-07,1.56784e-06
2578,4.92e-05,3.45314e-05,8e-07,9.59944e-07
2591,5.28e-05,5.93463e-05,4e-07,5.54261e-07
2657,0.000135,0.000150336,2.8e-06,3.27879e-06
2670,7.6e-06,1.48945e-05,0,0
2696,1e-05,1.9598e-05,4e-07,7.83922e-07
2714,8e-06,1.56784e-05,0,0
2715,2.4e-06,4.70353e-06,0,0
2716,3.6e-06,7.05529e-06,0,0
2718,9e-06,1.11054e-05,0,0
2732,1.88e-05,2.50274e-05,4e-07,7.83922e-07
2753,4.04e-05,7.91761e-05,8e-07,1.56784e-06
2762,1.52e-05,1.72339e-05,2e-07,3.91961e-07
2764,1.18e-05,2.31257e-05,0,0
2792,2.2e-06,4.31157e-06,0,0
2806,7.34e-05,5.16817e-05,8e-07,7.83686e-07
2813,1.76e-05,3.44926e-05,4e-07,7.83922e-07
2816,6e-06,1.17588e-05,0,0
2887,2e-06,3.91961e-06,0,0
2894,6e-06,1.17588e-05,0,0
2965,1.94e-05,2.62877e-05,0,0
2980,1.06e-05,2.07739e-05,2e-07,3.91961e-07
2990,0.0002106,0.000184734,6.4e-06,6.36678e-06
2991,0.0001244,7.46167e-05,2.2e-06,1.79533e-06
3001,9.78e-05,7.05068e-05,3.4e-06,5.90532e-06
3013,3.54e-05,3.66027e-05,6e-07,8.76381e-07
3031,7.26e-05,6.41476e-05,1e-06,1.29982e-06
3035,2.56e-05,2.38081e-05,4e-07,7.83922e-07
3133,1.08e-05,1.40433e-05,0,0
3185,1.56e-05,1.64303e-05,2e-07,3.91961e-07
3213,3.6e-06,6.32002e-06,0,0
3218,0.0001734,9.89741e-05,4.4e-06,3.27744e-06
3222,2.88e-05,4.22558e-05,1.4e-06,2.38413e-06
3260,3.6e-05,3.17774e-05,0,0
3330,1.2e-06,2.35176e-06,0,0
3365,5e-05,4.64673e-05,8e-07,9.59944e-07
3419,2.32e-05,3.64524e-05,2.8e-06,5.11047e-06
3429,0.0001752,9.94789e-05,3.6e-06,2.59832e-06
3447,1.28e-05,1.85825e-05,4e-07,7.83922e-07
3464,0.0002956,0.000114422,5e-06,3.5686e-06
3500,3.8e-06,5.6116e-06,0,0
3552,0.0001908,0.000110454,2.4e-06,1.83744e-06
3553,9.2e-06,1.80302e-05,6e-07,1.17588e-06
