cellID,ratio_DSB_Gy_Gbp,ratio_DSB_Gy_Gbp_Std,ratio_SSB_Gy_Gbp,ratio_SSB_Gy_Gbp_Std
1,2.98611,5.89506,126.163,209.331
5,0,0,5.64391,12.0709
27,0,0,15.1479,40.1891
30,0,0,12.0292,31.5304
633,2.43268,6.74237,128.932,357.345
720,0,0,100.229,207.945
772,2.18646,5.29207,105.679,199.508
1169,4.21373,10.6912,103.939,246.884
1170,3.06355,7.13609,143.987,263.076
1386,0.850067,1.92899,35.7028,81.0176
1715,0,0,14.6424,32.4605
1758,0.626822,1.53448,29.4607,72.1206
1782,0,0,177.786,492.748
2063,0,0,17.0076,45.7001
2098,1.62484,3.11926,39.5378,70.5018
3000,0,0,6.16024,15.0455
3229,0,0,297.472,824.467
3281,0,0,149.035,413.064
3353,4.6655,12.26,107.306,281.981
3683,0,0,17.0454,34.6421
3734,0,0,6.91403,13.3163
3739,0,0,146.982,407.372
3828,0.570814,1.31416,55.369,105.487
3835,0,0,14.766,38.3321
3845,0.176106,0.423207,18.1389,34.5418
4027,0,0,144.438,284.307
4049,0,0,84.3342,146.192
4058,2.0527,3.65778,67.4826,101.039
4059,11.0769,30.7005,181.384,502.72
4064,1.59717,4.4267,36.735,101.814
4120,0,0,24.6043,47.4084
4121,5.17214,11.333,170.681,378.767
4156,0,0,2.48879,6.2688
4178,0,0,3.45757,9.28684
4204,2.87168,6.89475,34.4601,82.737
4207,0,0,26.7841,66.2081
4211,0,0,154.463,326.376
4212,0,0,35.7217,92.0505
4216,1.27813,2.45879,63.9064,111.062
4218,0,0,21.6889,51.1251
4231,0,0,124.794,252.906
4233,1.16762,2.92609,25.6877,64.374
4235,0,0,157.801,437.358
4236,0,0,155.037,307.64
4237,0,0,141.853,341.21
4238,2.3372,5.18529,157.761,251.728
4240,0,0,114.337,241.871
4251,8.42779,21.2699,122.805,277.695
4254,1.6063,3.47771,31.5907,63.6155
4262,0,0,97.3356,269.774
4268,2.10746,3.47013,169.651,216.657
4269,0.302891,0.680968,13.933,23.9836
4272,0,0,244.213,412.25
4276,1.29314,3.10055,23.9231,51.8917
4277,0,0,58.9439,163.368
4278,1.06318,2.47122,70.1698,154.767
4279,1.1779,2.69031,73.0296,132.581
4280,0,0,148.461,411.472
4284,0,0,8.28118,18.0827
4285,0.310544,0.736871,43.4762,78.5259
4286,7.10979,13.9193,133.506,248.841
4287,0,0,6.91699,16.1541
4288,0,0,122.548,339.653
4289,3.07008,7.40013,155.039,307.003
4290,0,0,239.272,663.162
4291,0,0,137.728,381.725
4293,0,0,132.423,204.797
4294,0,0,8.15777,21.0427
4295,2.56956,6.15845,53.1043,106.708
4296,0,0,117.979,326.988
4297,0,0,29.3603,81.3744
