cellID,totalCellDose,statisticalError,nucleusDose,statisticalError
4,2.71659e-08,5.32399e-08,0,0
19,6.24462e-09,1.22382e-08,4.9957e-08,9.79059e-08
22,5.63799e-08,1.10494e-07,0,0
104,5.87824e-07,2.71481e-07,2.42395e-06,1.57887e-06
139,1.75734e-08,3.44405e-08,1.40587e-07,2.75524e-07
216,1.87251e-07,1.35613e-07,6.47613e-07,4.55906e-07
295,4.02528e-07,2.72377e-07,1.13484e-06,1.39689e-06
304,6.63814e-07,2.8517e-07,1.60728e-06,6.04392e-07
338,1.32259e-07,1.16208e-07,3.48437e-07,2.76144e-07
358,5.89018e-08,1.15436e-07,0,0
365,1.92131e-07,1.17989e-07,8.66969e-07,5.77379e-07
374,7.53741e-07,5.284e-07,1.18456e-06,8.20335e-07
382,5.84194e-08,5.42914e-08,2.03589e-07,2.31746e-07
411,1.98203e-08,3.88439e-08,0,0
421,5.00467e-08,9.80818e-08,3.01592e-08,5.91061e-08
513,9.00139e-09,1.7641e-08,0,0
532,1.44688e-07,1.70097e-07,6.09307e-07,8.06928e-07
544,4.7716e-08,5.93184e-08,1.6428e-07,2.08905e-07
555,2.45183e-08,4.80511e-08,0,0
581,1.41073e-07,1.97404e-07,0,0
611,8.23107e-08,1.09912e-07,3.1954e-08,6.26237e-08
683,6.74452e-07,3.04397e-07,1.70135e-06,6.62565e-07
693,2.22551e-08,4.36157e-08,0,0
696,3.07862e-07,6.0335e-07,1.5166e-07,2.97223e-07
748,5.68405e-08,6.06403e-08,2.74932e-07,3.33561e-07
759,2.08941e-08,4.09484e-08,0,0
761,7.62689e-09,1.49472e-08,6.10151e-08,1.19578e-07
769,4.21453e-08,5.43024e-08,1.60289e-07,2.61928e-07
770,1.01204e-08,1.40689e-08,8.0963e-08,1.12551e-07
817,1.17375e-09,2.30032e-09,9.39001e-09,1.84026e-08
824,9.78618e-08,1.00513e-07,3.33523e-07,5.0842e-07
831,7.90348e-08,1.14052e-07,3.52043e-07,4.12099e-07
938,2.68827e-08,2.78357e-08,2.15061e-07,2.22685e-07
980,1.86428e-07,1.63072e-07,6.58149e-07,8.23416e-07
1045,4.97775e-09,9.75541e-09,3.9822e-08,7.80433e-08
1050,4.44726e-08,8.71576e-08,0,0
1082,9.36482e-08,8.74485e-08,3.10711e-07,3.29675e-07
1094,5.62814e-07,2.75001e-07,1.58466e-06,8.97637e-07
1116,1.23967e-08,2.42951e-08,0,0
1165,8.22091e-09,1.18651e-08,6.57673e-08,9.49206e-08
1169,9.93197e-08,1.94647e-07,4.52619e-07,8.87045e-07
1185,4.3851e-08,7.01393e-08,7.42866e-08,1.45587e-07
1198,1.43843e-07,1.18497e-07,3.80963e-07,3.37168e-07
1203,8.96565e-09,1.36758e-08,7.17252e-08,1.09406e-07
1216,2.02784e-08,2.79141e-08,5.51757e-08,7.65609e-08
1249,3.76212e-07,1.97672e-07,9.82808e-07,5.56399e-07
1288,9.29365e-09,1.82137e-08,7.43492e-08,1.4571e-07
1306,3.73205e-08,4.64233e-08,0,0
1315,3.00781e-07,4.52914e-07,3.61082e-07,2.34671e-07
1376,2.38803e-08,2.28171e-08,1.91042e-07,1.82537e-07
1388,2.41912e-08,3.14324e-08,9.15639e-08,1.52686e-07
1426,6.5319e-09,1.28012e-08,5.22552e-08,1.0241e-07
1430,3.05808e-08,5.22589e-08,3.40519e-08,6.6735e-08
1443,3.40128e-07,2.11261e-07,9.60596e-07,7.34774e-07
1450,2.4233e-08,4.74919e-08,0,0
1461,2.38649e-08,4.67704e-08,0,0
1528,7.48032e-07,3.62744e-07,1.73828e-06,8.562e-07
1530,3.94991e-07,2.74199e-07,7.45304e-07,5.25153e-07
1550,8.45206e-08,8.0867e-08,6.75505e-07,6.46816e-07
1597,2.66927e-08,3.69904e-08,2.13542e-07,2.95924e-07
1620,4.4619e-09,8.74444e-09,3.56952e-08,6.99555e-08
1635,1.28188e-07,1.29442e-07,2.35537e-07,2.75627e-07
1641,3.42848e-09,6.71915e-09,2.74278e-08,5.37532e-08
1652,3.34608e-08,4.24087e-08,2.67686e-07,3.3927e-07
1687,2.3449e-07,1.71717e-07,1.07331e-06,9.901e-07
1717,1.59955e-07,9.23905e-08,7.72413e-07,4.60023e-07
1720,3.34332e-07,2.46901e-07,1.31952e-06,1.13998e-06
1721,3.2175e-08,4.62338e-08,0,0
1771,2.961e-08,4.32265e-08,2.3688e-07,3.45812e-07
1813,2.49122e-08,2.46382e-08,1.19901e-07,1.21051e-07
1820,1.08752e-07,9.58624e-08,2.29144e-07,2.38302e-07
1915,1.62889e-08,2.39052e-08,8.78851e-08,1.72238e-07
1957,2.65018e-08,5.19383e-08,2.12014e-07,4.15506e-07
1980,4.58588e-08,8.98742e-08,1.26187e-07,2.47302e-07
2083,2.2923e-07,3.1759e-07,9.07516e-08,1.27664e-07
2104,1.27267e-07,2.49418e-07,1.01813e-06,1.99534e-06
2111,8.40803e-08,7.67877e-08,4.1968e-07,3.62981e-07
2115,2.92701e-07,1.57363e-07,1.09888e-06,7.76262e-07
2116,4.64459e-08,9.10248e-08,0,0
2117,6.26216e-07,2.97385e-07,2.01004e-06,8.67596e-07
2164,1.18346e-06,7.18494e-07,1.3102e-06,1.3855e-06
2169,2.51468e-08,2.9526e-08,9.39493e-08,1.0794e-07
2173,3.85616e-09,7.55731e-09,3.08492e-08,6.04585e-08
2199,5.35601e-09,1.04967e-08,4.28481e-08,8.39739e-08
2211,1.52128e-07,1.4394e-07,6.41955e-07,7.98832e-07
2235,2.45567e-07,1.698e-07,5.10731e-07,3.15386e-07
2239,1.00793e-06,6.28166e-07,1.77654e-06,8.44015e-07
2264,2.68753e-06,6.61619e-07,7.18084e-06,1.63864e-06
2274,1.89225e-06,6.76869e-07,5.15805e-06,2.49015e-06
2282,2.94529e-08,4.19586e-08,1.45934e-07,2.86002e-07
2297,1.29281e-06,4.77873e-07,2.5829e-06,9.54023e-07
2317,2.1624e-07,1.5361e-07,8.07219e-07,6.28595e-07
2377,1.7334e-07,1.8746e-07,2.04236e-07,2.16853e-07
2388,1.86623e-07,1.54027e-07,3.86159e-07,2.73914e-07
2403,3.87802e-07,1.67126e-07,1.81855e-06,7.44479e-07
2422,4.65765e-07,2.76917e-07,9.19105e-07,5.54297e-07
2437,7.56548e-08,6.04408e-08,6.05238e-07,4.83526e-07
2442,2.00675e-08,3.93283e-08,9.06446e-08,1.77646e-07
2443,8.40386e-08,1.64699e-07,0,0
2458,8.898e-08,1.74383e-07,0,0
2466,2.27832e-07,1.78611e-07,7.2602e-07,6.19471e-07
2473,2.58919e-08,3.06743e-08,2.07135e-07,2.45394e-07
2490,1.1879e-07,1.29608e-07,3.42546e-07,4.7738e-07
2496,6.62629e-07,4.55227e-07,1.2212e-06,8.7036e-07
2566,6.35677e-07,5.80128e-07,2.41935e-06,2.11941e-06
2618,1.64775e-07,1.62085e-07,8.22428e-07,7.55658e-07
2632,5.33026e-08,4.99062e-08,2.87212e-07,2.91599e-07
2644,1.46196e-07,1.41106e-07,2.17507e-07,2.74715e-07
2657,5.97753e-07,5.36737e-07,4.44926e-07,3.13197e-07
2689,1.66725e-08,3.26747e-08,5.18083e-08,1.01534e-07
2690,1.01385e-08,1.98696e-08,8.11083e-08,1.58956e-07
2714,1.05513e-08,2.06786e-08,8.44108e-08,1.65429e-07
2732,1.45904e-07,1.83848e-07,1.82311e-07,2.08376e-07
2778,5.87989e-08,7.40632e-08,0,0
2805,4.52952e-08,7.96458e-08,3.96652e-08,7.7736e-08
2806,1.97025e-07,1.83369e-07,2.77734e-07,2.21852e-07
