cellID,totalCellDose,statisticalError,nucleusDose,statisticalError
2240,6.78785e-08,5.71411e-08,2.96692e-07,2.91033e-07
2247,5.76491e-08,6.62655e-08,2.06397e-07,1.78218e-07
2259,3.74465e-07,3.07524e-07,7.03052e-07,4.8735e-07
2285,3.22717e-08,4.51026e-08,1.46064e-07,2.86257e-07
2292,1.13102e-07,1.1258e-07,2.2782e-08,4.46483e-08
2342,4.37214e-09,8.56854e-09,3.49771e-08,6.85483e-08
2370,1.19445e-07,1.13872e-07,6.36995e-07,7.32319e-07
2390,1.82182e-08,2.54382e-08,1.45745e-07,2.03506e-07
2410,1.44479e-07,2.06338e-07,1.24743e-07,2.44471e-07
2435,5.36964e-07,3.52139e-07,8.54669e-07,5.95088e-07
2453,2.46859e-08,4.83796e-08,1.97487e-07,3.87037e-07
2468,1.42661e-07,2.25772e-07,2.28539e-07,2.50436e-07
2487,1.40125e-07,1.72761e-07,1.50185e-07,1.64153e-07
2488,2.21223e-07,1.2837e-07,5.54075e-07,4.00959e-07
2492,8.2889e-08,9.37232e-08,1.83609e-07,2.13678e-07
2501,2.35485e-07,1.70366e-07,7.64658e-07,5.54514e-07
2518,6.80548e-09,1.01857e-08,5.44438e-08,8.14856e-08
2523,1.67723e-07,1.68806e-07,3.61869e-07,4.51913e-07
2532,1.09473e-07,1.65027e-07,2.11094e-07,2.15038e-07
2558,3.09447e-08,4.36324e-08,0,0
2578,3.27788e-07,3.20486e-07,5.39482e-07,3.81047e-07
2591,6.96694e-08,7.82533e-08,5.57355e-07,6.26026e-07
2593,3.21284e-08,6.29653e-08,0,0
2657,1.61185e-07,1.25964e-07,9.71734e-07,9.39556e-07
2669,3.73006e-08,7.31018e-08,0,0
2670,1.27184e-08,2.49256e-08,1.01747e-07,1.99405e-07
2696,4.55446e-08,7.09788e-08,7.64349e-08,1.49797e-07
2714,1.3138e-08,2.5748e-08,6.64991e-08,1.30325e-07
2715,2.78007e-09,5.44839e-09,2.22405e-08,4.35871e-08
2716,3.26e-09,6.38896e-09,2.608e-08,5.11117e-08
2718,5.56097e-08,5.35246e-08,9.76838e-08,1.1469e-07
2732,2.07088e-08,2.62637e-08,1.6567e-07,2.1011e-07
2749,1.88148e-08,3.68734e-08,0,0
2753,4.44824e-08,8.71768e-08,2.7208e-07,5.33223e-07
2762,1.51224e-08,1.71302e-08,1.20979e-07,1.37042e-07
2764,8.85325e-08,1.30615e-07,1.02245e-07,2.00381e-07
2792,6.85744e-09,1.34392e-08,5.48595e-08,1.07514e-07
2806,4.12367e-07,3.49624e-07,5.91912e-07,4.0118e-07
2813,1.37332e-08,2.69143e-08,1.09865e-07,2.15314e-07
2816,6.26232e-09,1.22729e-08,5.00986e-08,9.81834e-08
2887,1.05402e-09,2.06568e-09,8.43218e-09,1.65254e-08
2894,3.65746e-09,7.1679e-09,2.92597e-08,5.73432e-08
2957,1.55718e-08,3.05176e-08,0,0
2965,5.29816e-08,7.97221e-08,1.06199e-07,1.38764e-07
2980,1.81406e-08,3.55521e-08,6.73978e-08,1.32087e-07
2990,6.88204e-07,6.19447e-07,2.06463e-06,2.00181e-06
2991,5.82675e-07,3.33345e-07,1.04403e-06,5.94009e-07
3001,3.27512e-07,2.6898e-07,9.00495e-07,6.08359e-07
3013,2.21244e-07,3.1314e-07,2.82157e-07,2.91006e-07
3031,9.66386e-08,8.40572e-08,6.66967e-07,6.15134e-07
3035,7.45473e-08,5.87317e-08,2.49506e-07,2.30797e-07
3055,2.43669e-08,4.77543e-08,0,0
3133,2.76143e-08,3.27891e-08,1.087e-07,1.43047e-07
3185,6.2529e-08,7.15054e-08,2.27211e-07,2.55592e-07
3213,2.81706e-08,4.58758e-08,4.0757e-08,6.17178e-08
3218,4.2128e-07,2.28187e-07,1.43221e-06,8.22653e-07
3222,1.14214e-07,1.05785e-07,4.01773e-07,5.8371e-07
3237,2.21464e-07,4.34026e-07,0,0
3260,2.52718e-07,2.66157e-07,2.99855e-07,2.89588e-07
3330,1.50734e-09,2.95409e-09,1.20587e-08,2.36327e-08
3339,3.89818e-08,5.89765e-08,0,0
3352,6.90847e-08,1.35392e-07,0,0
3365,1.52403e-07,1.15447e-07,5.29636e-07,4.76847e-07
3419,4.37096e-08,7.13812e-08,2.27838e-07,3.4271e-07
3429,9.32895e-07,6.13889e-07,1.81845e-06,1.2823e-06
3447,1.29103e-08,1.95416e-08,1.03283e-07,1.56333e-07
3464,8.72658e-07,3.46516e-07,2.75171e-06,1.069e-06
3479,1.51723e-07,2.97347e-07,0,0
3498,3.10567e-08,6.0865e-08,0,0
3500,1.41883e-07,2.4163e-07,5.00311e-08,7.82374e-08
3552,1.38007e-06,6.56221e-07,1.77048e-06,8.98964e-07
3553,8.46225e-09,1.65843e-08,6.7698e-08,1.32675e-07
3575,5.17592e-08,5.69879e-08,2.27329e-07,2.71975e-07
3577,1.2355e-07,2.06498e-07,1.50245e-07,1.76148e-07
3587,5.05018e-07,4.08545e-07,7.11115e-07,5.14876e-07
3606,3.59742e-07,3.63622e-07,5.25654e-07,4.3441e-07
3611,1.21783e-07,1.47204e-07,2.55164e-07,4.03827e-07
3613,9.92929e-09,1.94595e-08,0,0
3629,1.60293e-07,2.18564e-07,4.60788e-07,6.82259e-07
3644,4.83195e-09,9.46968e-09,3.86556e-08,7.57574e-08
3650,4.68313e-08,5.83048e-08,1.94853e-07,2.70685e-07
3659,2.46695e-07,2.16413e-07,1.0025e-06,1.08898e-06
3666,2.2656e-07,1.55578e-07,6.06427e-07,6.01749e-07
3677,3.25105e-08,5.37441e-08,4.54486e-08,8.90704e-08
3704,1.22015e-08,2.39125e-08,0,0
3717,5.25366e-07,3.2927e-07,1.40345e-06,1.60655e-06
3747,2.29356e-07,2.20654e-07,5.3545e-07,5.09003e-07
3769,2.25587e-07,1.44267e-07,1.07201e-06,8.10436e-07
3772,1.45234e-08,2.19797e-08,1.16187e-07,1.75838e-07
3783,3.12295e-07,2.29663e-07,5.8087e-07,4.92619e-07
3812,1.33157e-07,1.20073e-07,2.82981e-07,3.25373e-07
3814,1.00501e-07,1.32135e-07,5.92452e-07,8.85376e-07
3815,2.0045e-08,3.92843e-08,0,0
3822,1.38547e-08,2.71525e-08,1.10838e-07,2.1722e-07
3831,2.11333e-07,3.64444e-07,1.38083e-06,2.47893e-06
3843,7.54138e-08,1.47796e-07,3.00752e-07,5.89415e-07
3871,1.03975e-08,1.26454e-08,8.318e-08,1.01163e-07
3873,3.7436e-08,6.06365e-08,1.7304e-07,2.43663e-07
3874,1.06967e-08,2.09634e-08,0,0
3882,1.71986e-08,3.02397e-08,1.37589e-07,2.41918e-07
3922,1.36196e-07,1.29231e-07,2.46747e-07,2.59581e-07
3928,5.67234e-08,1.11167e-07,0,0
3938,2.56193e-07,2.88746e-07,2.86549e-07,2.33662e-07
3958,2.85373e-07,4.44531e-07,1.50712e-06,2.60767e-06
3970,2.43649e-07,4.61066e-07,6.83313e-08,1.33916e-07
3981,8.73378e-08,1.23927e-07,1.88726e-07,3.69866e-07
4009,3.32391e-08,5.10055e-08,1.33995e-07,1.66447e-07
4022,4.66907e-08,7.43971e-08,8.07491e-08,1.58252e-07
4038,1.82071e-07,1.70233e-07,8.61563e-07,7.16123e-07
4045,2.58389e-08,5.06392e-08,0,0
4073,1.37255e-08,2.68994e-08,1.09804e-07,2.15195e-07
4086,1.16459e-06,3.73277e-07,3.33459e-06,1.14028e-06
4109,2.66153e-07,1.66101e-07,3.74492e-07,2.5809e-07
4142,1.27468e-07,1.07309e-07,3.80379e-07,3.58485e-07
4261,1.85379e-08,3.63306e-08,0,0
4286,8.33845e-08,8.10487e-08,1.79136e-07,2.50911e-07
4296,1.14766e-08,2.24918e-08,9.18125e-08,1.79934e-07
4310,5.25959e-09,1.03078e-08,4.20767e-08,8.24621e-08
4323,2.67582e-07,1.51355e-07,7.9731e-07,5.27872e-07
4340,2.0882e-07,3.43752e-07,0,0
4342,1.20959e-08,2.37056e-08,9.67673e-08,1.89645e-07
4349,1.82091e-08,2.46024e-08,6.37987e-08,1.14014e-07
4364,2.89189e-07,4.26313e-07,2.8583e-07,5.6017e-07
4370,4.86156e-08,4.73352e-08,3.88925e-07,3.78682e-07
4371,1.67961e-08,2.34368e-08,1.34369e-07,1.87495e-07
4377,5.18298e-09,1.01576e-08,4.14638e-08,8.12609e-08
4378,1.72795e-07,2.91907e-07,2.68446e-08,5.26101e-08
4397,3.26249e-08,4.17576e-08,1.11496e-07,1.23485e-07
4405,2.37905e-08,4.66247e-08,0,0
4425,2.19409e-07,1.64835e-07,7.12332e-07,7.90234e-07
4431,1.56358e-07,1.01332e-07,7.54475e-07,5.55075e-07
4433,3.26172e-08,2.68412e-08,2.60938e-07,2.14729e-07
4460,6.76729e-08,9.51196e-08,3.83781e-08,7.52136e-08
4461,2.32797e-07,1.90922e-07,9.92024e-07,6.88734e-07
4468,2.39476e-08,4.69326e-08,0,0
4476,2.33757e-08,3.72304e-08,1.7439e-07,2.96821e-07
4479,1.07476e-06,4.01584e-07,3.05419e-06,1.50706e-06
4483,3.32128e-08,5.27139e-08,1.88822e-07,2.79778e-07
