cellID,ratio_DSB_Gy_Gbp,ratio_DSB_Gy_Gbp_Std,ratio_SSB_Gy_Gbp,ratio_SSB_Gy_Gbp_Std
6037,0.2265,0.497333,14.7225,21.9128
6039,0,0,2.02477,5.5619
6042,2.1393,5.1756,96.9818,229.353
6043,0,0,0.506157,1.28127
6046,0,0,141.718,392.782
6047,3.76052,10.4226,266.997,740.003
6048,0.251881,0.517024,37.908,32.9048
6049,0.632564,0.762428,62.8769,50.7994
6050,2.05508,5.42407,76.038,200.691
6052,0,0,14.8493,41.1559
6054,1.21309,1.87011,38.9362,47.4275
6056,1.43215,2.78624,122.449,238.82
6059,1.33343,1.11161,50.418,31.2521
6062,0,0,93.469,226.945
6064,0,0,183.178,507.694
6065,0,0,159.185,441.193
6074,0,0,134.673,357.014
6076,0,0,16.3162,43.407
6083,0.731266,1.72592,87.752,152.011
6085,3.32557,5.63549,92.209,135.465
6086,0,0,8.82092,20.2576
6088,1.83121,4.50557,122.691,261.54
6089,0,0,127.748,354.064
6090,1.13595,1.70345,61.5305,84.237
6097,2.37456,5.18527,90.7608,195.431
6099,1.99117,5.26979,98.895,261.733
6103,0,0,169.852,470.76
6115,2.85049,6.93209,82.6642,201.031
6119,0,0,193.633,536.669
6121,1.95543,4.39129,152.524,247.995
6122,0,0,174.134,343.069
6127,0.432456,0.666403,24.4338,34.1937
6130,0.31189,0.736742,24.6393,45.4387
6134,0.572004,0.699261,45.6459,43.9771
6145,0,0,167.835,465.17
6147,0,0,59.7408,117.401
6158,1.25124,0.711252,55.2693,25.3215
6161,1.14952,2.50068,57.4758,86.7409
6166,2.91554,4.43022,68.307,83.0217
6170,3.14875,5.25524,77.7168,120.043
6174,0.983408,0.462429,43.8809,14.6269
6176,0.831906,2.1041,84.0225,180.09
6184,1.81238,3.29184,63.0152,97.6866
6186,0.952581,1.35259,53.404,53.375
6187,0,0,21.1492,50.9717
6189,0,0,169.975,471.099
6196,1.83922,3.66787,98.7048,192.467
6198,21.2628,58.9316,191.365,530.385
6199,2.05504,3.01409,53.7735,62.4494
6205,0,0,8.7147,22.2672
6209,0,0,37.8194,96.118
6215,0,0,65.3816,152.898
