cellID,ratio_DSB_Gy_Gbp,ratio_DSB_Gy_Gbp_Std,ratio_SSB_Gy_Gbp,ratio_SSB_Gy_Gbp_Std
19,0,0,74.731,207.123
104,1.07742,1.17083,72.3005,61.0094
139,0,0,68.2849,189.257
216,0.534043,0.717344,63.195,62.8137
295,0.66248,0.883277,51.0938,69.203
304,0.853653,0.728754,42.8835,25.6505
338,0.756095,1.2888,47.634,58.8408
365,2.60239,3.64726,92.8184,85.3983
374,0.442238,0.525626,32.9025,33.098
382,1.14117,1.90398,53.0646,77.9944
421,0,0,12.6548,35.0739
532,2.07342,4.73852,85.0103,153.47
544,0.698578,1.62128,63.5706,109.372
611,0,0,4.85964,11.5245
683,0.939033,0.949458,52.9813,32.1061
696,0.32482,0.900266,5.52195,15.3045
748,2.34574,4.41249,95.0026,145.5
761,8.741,24.2264,157.338,436.075
769,0.790914,1.85502,59.3185,114.154
770,0,0,82.3421,169.241
817,0,0,56.7979,157.42
824,1.02185,2.26098,54.158,94.7019
831,0,0,69.1679,129.943
938,1.23996,2.7484,106.636,151.123
980,0.7152,1.17196,43.6272,68.505
1045,0,0,180.805,501.115
1082,0.711884,1.18951,45.9165,71.8573
1094,1.06607,0.999067,51.1122,36.2846
1165,0,0,231.118,483.284
1169,1.67808,4.65094,88.9384,246.5
1185,0.76015,1.92293,20.5241,51.919
1198,1.62213,2.47303,51.4448,64.7773
1203,0,0,237.945,493.049
1216,0,0,59.1762,119.901
1249,0.886024,1.02983,44.4784,36.1563
1288,0,0,197.267,546.742
1315,0.110823,0.273897,23.1619,38.387
1376,0,0,99.1053,131.206
1388,0,0,52.3606,100.12
1426,5.10316,14.1438,81.6506,226.301
1430,0,0,16.3501,42.5138
1443,0.686017,0.939273,64.0936,66.4052
1528,1.11403,0.945268,52.1813,36.7804
1530,1.35024,1.81239,42.7858,42.6977
1550,0,0,97.8065,128.895
1597,2.49756,4.89448,138.615,275.634
1620,0,0,112.06,310.583
1635,0.520071,1.14658,33.8046,54.8182
1641,0,0,136.115,377.253
1652,0.996191,2.32503,113.566,197.752
1687,4.40672,6.00781,81.8797,98.0845
1717,1.25035,1.47942,94.4018,79.625
1720,2.59223,2.94961,79.7609,87.365
1771,5.62873,11.0023,150.85,300.628
1813,1.33803,2.93726,149.86,214.654
1820,0.613014,1.00673,49.9607,68.7004
1915,2.04638,5.01035,87.9945,215.445
1957,7.54666,20.9162,198.729,550.793
1980,0.726869,2.01458,46.5196,128.933
2083,0.436243,1.04701,12.2148,26.8157
2104,2.88109,7.98518,113.148,313.6
2111,1.98223,3.14894,102.68,131.017
2115,1.2527,1.78678,62.4073,56.2542
2117,0.904907,0.737049,56.051,36.5112
2164,0.422489,0.866815,18.4487,21.6217
2169,0,0,83.5097,136.802
2173,0,0,77.7977,215.623
2199,0,0,68.4589,189.739
2211,2.62936,5.03642,81.291,118.94
2235,0.407221,0.539914,38.8217,38.1556
2239,1.02521,1.09997,37.5358,29.4773
2264,0.855803,0.452943,49.7606,17.1505
2274,1.03933,0.742323,49.6234,27.7046
2282,1.13175,2.74209,58.851,142.588
2297,0.696159,0.550778,40.4288,21.1756
2317,3.54544,4.44436,86.4779,89.9773
2377,0.192301,0.430444,24.8068,38.8527
2388,0.178614,0.379822,41.2598,45.0808
2403,1.80505,1.60032,96.2691,59.4366
2422,0.858803,1.02332,36.1413,30.662
2437,1.32179,1.83058,145.397,162.197
2442,0,0,11.6275,32.2264
2466,0.731533,1.11042,50.1832,56.4121
2473,0,0,112.004,192.845
2490,2.80608,5.18768,77.7285,149.483
2496,0.452742,0.615227,29.1767,26.7222
2566,1.20606,1.94894,68.7456,89.7772
2618,3.23674,4.69866,79.3002,103.462
2632,0,0,96.9309,133.936
2644,0.912016,1.5401,37.8487,60.6892
2657,0.0557644,0.120212,12.7143,14.771
2689,0,0,55.9806,155.155
2690,0,0,105.209,291.596
2714,0,0,78.9789,218.896
2732,0.456922,1.0646,29.0145,48.5096
2805,0,0,21.3415,56.1921
2806,1.0151,1.7581,40.7733,51.631
2856,0.365742,0.844571,26.3335,44.6396
2869,3.31687,9.19296,96.1891,266.596
2881,0,0,19.7244,37.3289
2925,0.807923,1.28943,46.5902,60.6899
2941,0.973412,0.790312,36.2499,23.0656
2948,0,0,88.4061,245.025
2988,0,0,207.08,573.94
3025,0,0,1.88779,4.62361
3067,1.65708,2.24511,81.197,69.3132
3087,2.02626,3.74267,101.988,161.34
3092,2.05552,2.74196,90.5249,97.0066
3093,8.8163,24.4351,185.142,513.137
3180,3.00889,6.29535,72.7147,145.145
3181,1.09056,2.52608,78.5207,145.76
3188,0,0,34.1917,94.765
3204,0.504835,0.614642,28.9439,30.7528
3215,1.20595,2.53425,97.2798,123.837
3216,2.19866,1.82288,76.0737,56.0178
3220,2.17738,4.33035,74.964,113.741
3233,2.15774,3.61305,107.168,129.515
3252,0.83744,1.26233,46.8966,60.3961
3269,0.706219,1.06472,52.5628,45.8666
3276,0.814434,1.36004,26.3334,34.4089
3289,0.657317,1.54812,50.8951,108.717
3295,0,0,22.0642,53.3788
3305,0,0,132.122,366.188
3349,0,0,29.4439,63.7023
3381,0,0,115.363,319.737
3384,1.08805,2.19166,34.2734,68.0605
3414,6.0764,13.5447,173.177,388.034
3436,0,0,38.8652,107.718
3441,0.410978,0.600795,24.9669,27.4409
3483,0,0,64.3129,178.248
3529,0.528203,0.487472,32.8366,23.6741
3551,1.36794,2.18831,37.2765,56.4165
3557,0.312501,0.777355,34.6876,65.7573
3558,0,0,9.71189,24.2131
3560,0.70216,1.22666,52.4279,70.4296
3568,0.906321,1.20321,30.5128,36.2271
3578,3.37437,5.77373,121.852,194.215
3580,0.563016,1.08096,16.3275,30.676
3588,0.628535,0.651465,34.6661,31.769
3617,2.04135,3.42147,75.5298,110.81
3623,2.44251,4.18936,85.266,127.821
3634,1.41537,3.51107,104.03,212.519
3643,2.47078,6.13444,69.7113,155.762
3658,0,0,10.6558,25.1579
3659,0.406199,0.937698,33.3083,60.9541
3663,0.176557,0.405371,49.9656,86.9119
3700,2.4757,5.95729,65.1934,156.875
3720,0.602618,1.39053,103.048,164.488
3730,2.1004,3.8653,74.5641,142.229
3739,1.40896,2.60076,40.4372,69.6641
3742,0,0,82.2222,227.886
3757,0,0,160.157,443.888
3758,2.67257,7.40726,83.6134,231.741
3789,0,0,40.9209,57.8029
3792,0,0,160.381,369.462
3815,0.168819,0.302807,15.5314,19.7408
3818,1.38333,1.50996,58.6531,50.9244
3836,0,0,50.0532,138.726
3838,0,0,153.094,424.314
3862,2.01899,4.42531,33.1114,70.4999
3876,0.613203,1.36796,49.0562,83.381
3896,5.74071,15.9108,179.006,496.129
3906,2.99701,8.30647,182.818,506.695
3936,1.2973,1.42663,57.6,50.9122
3958,0,0,139.208,385.828
3972,0,0,13.1977,29.3352
3999,18.953,52.5298,151.624,420.239
4001,0.111454,0.246909,14.9348,23.6544
4003,3.203,8.08545,148.939,345.776
4011,1.41286,2.19591,47.5073,72.7146
4054,15.7636,33.19,165.518,329.804
4089,1.96553,2.46343,129.07,134.237
4093,0,0,73.3117,109.628
4106,0,0,11.4266,30.5346
4123,2.65317,6.77606,196.334,478.919
4125,0.459842,0.569407,28.0086,24.9737
4128,2.13202,5.06616,54.8995,107.33
4132,0,0,20.3754,45.1868
4145,0.776359,0.358169,46.0389,13.421
4203,0,0,161.598,447.882
4218,0,0,112.29,311.22
4224,0,0,206.052,443.798
4228,0,0,6.6155,18.3354
4244,0,0,156.711,434.337
4249,4.04505,11.2112,157.757,437.236
4251,0.896711,0.911558,53.0853,42.4674
4260,8.35541,14.9968,143.561,221.914
4264,0,0,375.984,1042.07
4266,3.36055,7.56391,155.425,357.901
4269,0.673832,0.728832,74.0092,59.9695
4281,0,0,14.1902,37.5809
4283,1.14236,1.63901,60.5449,62.733
4304,0.549843,0.671366,37.0457,30.9342
4308,1.02364,2.03838,52.6441,72.2829
4330,0.418088,0.665701,22.7335,26.0778
4332,0.843916,2.00631,103.802,224.848
4351,0,0,62.9352,174.43
4372,0.839729,0.386146,46.6784,14.6898
4399,0.812237,0.913367,37.9946,27.6417
4400,0,0,32.6957,77.2666
4410,0.891671,1.52447,100.313,137.64
4428,3.93022,8.09242,74.9199,147.791
4438,4.39012,4.183,115.092,85.0251
4439,2.01663,4.59958,159.314,260.132
4444,0.579448,0.575898,29.2621,22.2951
4447,0.531938,0.682686,37.1293,35.5557
4451,1.42288,0.673048,76.1583,34.3298
4455,2.286,4.04402,118.872,189.261
4457,0,0,37.1348,93.1942
4479,1.36181,1.33985,56.5493,39.3675
4490,3.0157,8.35827,193.005,534.929
4506,1.52135,2.64543,50.0721,78.5249
4507,0,0,163.029,451.848
4508,2.10841,4.86215,96.9867,170.347
4510,0.267451,0.413391,51.0832,48.4401
4513,0.373553,0.810334,17.7438,27.9735
4518,1.75169,4.46017,142.105,373.565
4535,0.853846,1.25408,52.0846,57.3262
4537,0,0,120.084,189.789
4541,0.519967,1.3796,10.6593,28.2818
4550,3.03757,8.41886,97.2021,269.404
4555,0.429422,0.548126,20.8508,19.8662
4587,6.14462,17.0303,172.049,476.849
4597,0.523416,0.860186,56.0055,70.9618
4602,0.951418,1.89744,59.3579,79.5242
4627,0.201574,0.441932,33.8644,48.2945
4628,0,0,3.47745,8.24697
4640,0,0,123.965,272.346
4656,0.652879,1.05757,62.6764,79.4852
4659,2.83492,5.80942,49.6111,91.857
4666,1.00383,1.79287,99.8809,152.674
4667,1.2106,1.74181,66.8854,77.8258
4669,0.627443,1.30946,35.7072,63.0757
4670,0,0,21.922,60.7585
4674,0,0,17.2811,29.5722
4683,1.01125,1.6033,33.01,39.0397
4685,0.50971,0.843483,40.0123,50.7183
4687,0.3318,0.736204,9.45631,19.137
4690,0.848568,1.85675,64.4912,88.4879
4694,0.300349,0.487158,60.3702,72.4735
4701,0,0,55.4023,134.5
4702,0.748927,1.27974,38.4449,46.2734
4704,1.17074,0.718064,62.0494,27.9461
4718,2.43816,4.19619,69.9751,111.906
4725,2.7472,7.61409,109.888,304.564
4726,0,0,15.1026,35.1336
4731,2.85187,4.27421,104.806,124.944
4736,0.89707,1.55921,56.7397,66.8974
4745,0.504115,1.11944,17.8961,40.1208
4746,1.29696,1.70122,51.3922,57.2229
4747,0.414875,0.756758,29.1796,45.2459
4756,0.923672,0.652534,39.3946,23.06
4757,0,0,3.49016,9.4094
4759,1.70708,1.98752,69.9901,69.1327
4763,3.89229,10.7878,162.179,449.492
4769,0,0,70.8579,134.149
4772,0.996555,2.26223,70.2571,130.372
4775,0.274092,0.490285,19.6661,24.7754
4782,1.38061,3.03465,102.856,152.626
4786,0,0,117.191,305.895
4793,0,0,232.805,645.239
4796,5.19316,12.4672,168.778,349.146
4798,0.803761,1.5354,25.8352,33.4946
4800,0.91076,1.99267,102.005,133.178
4804,2.19172,5.3697,93.1483,198.223
4808,4.14027,11.4751,235.996,654.081
4820,0,0,107.292,297.368
4833,1.04032,1.11773,66.9852,60.3952
4836,0.34686,0.757329,34.3391,52.0088
4841,2.235,5.06709,48.276,109.449
4843,0,0,0.22517,0.622728
4861,0.888399,1.54119,44.2423,47.756
4864,1.47122,2.7689,66.4151,136.773
4881,0,0,116.722,233.001
4883,1.13632,2.44463,72.7244,94.7368
4889,4.21883,9.43732,135.706,293.738
4893,0,0,40.3762,62.2206
4902,0.33245,0.702872,19.8805,23.5492
4904,3.14768,8.72404,258.11,715.372
4921,0,0,47.9359,132.858
4923,2.36223,4.93781,86.3527,170.905
4937,0,0,75.3228,150.348
4938,0.796743,0.930587,56.3031,46.7052
4942,0.750614,1.30479,48.5397,88.3931
4956,0,0,3.24104,7.62882
4973,2.66875,4.97456,68.0531,124.371
4976,0.673373,1.50237,32.4903,65.9959
4977,0.722926,1.70679,88.197,168.576
4998,0.588861,0.495031,40.2108,26.7319
5005,0.850064,0.642686,39.5151,22.2465
5028,2.47852,2.99036,102.348,99.6138
5044,9.29423,24.45,191.693,494.375
5045,0.757769,1.1153,30.6022,33.759
5048,0.706815,0.779377,45.3849,38.914
5057,0,0,186.457,516.78
5062,1.24351,2.17547,47.4309,77.3048
5073,19.721,54.6584,177.489,491.925
5087,0.46284,1.02643,16.1994,29.6503
5089,0,0,35.7908,91.5534
5094,7.84714,19.4889,184.408,389.478
