cellID,SSB,statisticalError,DSB,statisticalError
19,2.8e-06,5.48745e-06,0,0
104,0.000255,0.000180087,3.8e-06,3.73796e-06
139,7.2e-06,1.41106e-05,0,0
216,7.1e-05,4.8335e-05,6e-07,6.7876e-07
295,0.0001234,0.000144784,1.6e-06,1.83811e-06
304,0.0001708,7.10874e-05,3.4e-06,2.50825e-06
338,3.78e-05,3.28202e-05,6e-07,8.76381e-07
365,0.000107,7.33069e-05,3e-06,3.7794e-06
374,0.0001488,0.000107349,2e-06,1.9196e-06
382,1.86e-05,2.11799e-05,4e-07,5.54261e-07
421,3.8e-06,7.44726e-06,0,0
532,7.38e-05,0.000101112,1.8e-06,3.52765e-06
544,1.82e-05,2.16466e-05,2e-07,3.91961e-07
611,2.4e-06,4.70353e-06,0,0
683,0.0002144,8.67004e-05,3.8e-06,3.43817e-06
696,1.02e-05,1.999e-05,6e-07,1.17588e-06
748,3.24e-05,3.56025e-05,8e-07,1.23941e-06
761,7.2e-06,1.41106e-05,4e-07,7.83922e-07
769,1.5e-05,2.14416e-05,2e-07,3.91961e-07
770,5e-06,7.56951e-06,0,0
817,4e-07,7.83922e-07,0,0
824,3.18e-05,4.50031e-05,6e-07,1.17588e-06
831,3.28e-05,3.94552e-05,0,0
938,1.72e-05,1.66428e-05,2e-07,3.91961e-07
980,4.88e-05,6.36371e-05,8e-07,1.10852e-06
1045,5.4e-06,1.05829e-05,0,0
1082,2.58e-05,3.24003e-05,4e-07,5.54261e-07
1094,0.0001726,8.88864e-05,3.6e-06,2.87887e-06
1165,1.14e-05,1.72496e-05,0,0
1169,5.3e-05,0.00010387,1e-06,1.9598e-06
1185,5.4e-06,1.05829e-05,2e-07,3.91961e-07
1198,4.44e-05,4.22818e-05,1.4e-06,1.79595e-06
1203,1.28e-05,1.79516e-05,0,0
1216,7.2e-06,1.07048e-05,0,0
1249,0.0001004,6.22745e-05,2e-06,2.07353e-06
1288,1.1e-05,2.15578e-05,0,0
1315,4.18e-05,2.89398e-05,2e-07,3.91961e-07
1376,1.42e-05,1.30129e-05,0,0
1388,7.6e-06,1.06615e-05,0,0
1426,3.2e-06,6.27137e-06,2e-07,3.91961e-07
1430,3e-06,5.87941e-06,0,0
1443,0.0001308,0.000108465,1.4e-06,1.70825e-06
1528,0.0002342,0.000119801,5e-06,3.48141e-06
1530,0.0001014,7.26963e-05,3.2e-06,3.67622e-06
1550,4.96e-05,4.49515e-05,0,0
1597,2.22e-05,3.16588e-05,4e-07,5.54261e-07
1620,3e-06,5.87941e-06,0,0
1635,2.6e-05,3.29901e-05,4e-07,7.83922e-07
1641,2.8e-06,5.48745e-06,0,0
1652,2.28e-05,2.72247e-05,2e-07,3.91961e-07
1687,0.0001152,0.000109211,6.2e-06,7.12974e-06
1717,9.06e-05,5.56888e-05,1.2e-06,1.23917e-06
1720,0.00016,0.000129431,5.2e-06,4.50143e-06
1771,2.68e-05,3.63577e-05,1e-06,1.29982e-06
1813,2.24e-05,2.32092e-05,2e-07,3.91961e-07
1820,3.26e-05,3.44061e-05,4e-07,5.54261e-07
1915,8.6e-06,1.68543e-05,2e-07,3.91961e-07
1957,3.16e-05,6.19298e-05,1.2e-06,2.35176e-06
1980,1.28e-05,2.50855e-05,2e-07,3.91961e-07
2083,1.68e-05,2.86095e-05,6e-07,1.17588e-06
2104,8.64e-05,0.000169327,2.2e-06,4.31157e-06
2111,5.18e-05,4.61589e-05,1e-06,1.29982e-06
2115,0.0001096,7.92984e-05,2.2e-06,2.90651e-06
2117,0.0002106,9.38979e-05,3.4e-06,2.2499e-06
2164,0.000131,0.000131326,3e-06,5.87941e-06
2169,1.26e-05,1.43934e-05,0,0
2173,1.8e-06,3.52765e-06,0,0
2199,2.2e-06,4.31157e-06,0,0
2211,7.42e-05,8.2809e-05,2.4e-06,3.99708e-06
2235,5.72e-05,3.99526e-05,6e-07,6.7876e-07
2239,0.000227,0.000108462,6.2e-06,5.41482e-06
2264,0.0008024,0.000193553,1.38e-05,6.4656e-06
2274,0.0005634,0.000241502,1.18e-05,7.29482e-06
2282,1.04e-05,2.0382e-05,2e-07,3.91961e-07
2297,0.0003136,0.000116373,5.4e-06,3.77735e-06
2317,0.0001122,8.52977e-05,4.6e-06,4.75104e-06
2377,2.58e-05,2.92288e-05,2e-07,3.91961e-07
2388,4.62e-05,3.30778e-05,2e-07,3.91961e-07
2403,0.000224,9.90319e-05,4.2e-06,3.25411e-06
2422,0.000101,6.11269e-05,2.4e-06,2.47833e-06
2437,6.6e-05,5.13867e-05,6e-07,6.7876e-07
2442,1.4e-06,2.74373e-06,0,0
2466,6.86e-05,5.52671e-05,1e-06,1.29982e-06
2473,1.74e-05,2.17392e-05,0,0
2490,5.54e-05,8.77359e-05,2e-06,2.98487e-06
2496,0.000116,7.02596e-05,1.8e-06,2.11039e-06
2566,0.0002622,0.000244929,4.6e-06,6.13445e-06
2618,7.84e-05,6.71949e-05,3.2e-06,3.41623e-06
2632,3.1e-05,3.15023e-05,0,0
2644,3.32e-05,4.25107e-05,8e-07,1.10852e-06
2657,4.56e-05,3.36152e-05,2e-07,3.91961e-07
2689,5.6e-06,1.09749e-05,0,0
2690,6.4e-06,1.25427e-05,0,0
2714,5e-06,9.79902e-06,0,0
2732,2.54e-05,2.79113e-05,4e-07,7.83922e-07
2805,5.8e-06,1.13669e-05,0,0
2806,4.82e-05,4.13878e-05,1.2e-06,1.75276e-06
2856,1.44e-05,1.69286e-05,2e-07,3.91961e-07
2869,5.8e-06,1.13669e-05,2e-07,3.91961e-07
2881,1.96e-05,2.36506e-05,0,0
2925,6.92e-05,7.1572e-05,1.2e-06,1.66278e-06
2941,0.0003724,0.000171491,1e-05,6.82913e-06
2948,6.8e-06,1.33267e-05,0,0
2988,7.6e-06,1.48945e-05,0,0
3025,1.4e-06,2.74373e-06,0,0
3067,5.88e-05,3.65438e-05,1.2e-06,1.46635e-06
3087,3.02e-05,3.34154e-05,6e-07,8.76381e-07
3092,0.0002202,0.000184488,5e-06,5.77286e-06
3093,8.4e-06,1.64624e-05,4e-07,7.83922e-07
3180,2.9e-05,4.47443e-05,1.2e-06,1.99854e-06
3181,1.44e-05,1.99611e-05,2e-07,3.91961e-07
3188,2.94e-05,5.76182e-05,0,0
3204,6.88e-05,4.86243e-05,1.2e-06,1.10824e-06
3215,4.84e-05,4.94826e-05,6e-07,1.17588e-06
3216,0.0003114,0.000173737,9e-06,6.08036e-06
3220,4.82e-05,5.38217e-05,1.4e-06,2.38413e-06
3233,2.98e-05,2.64899e-05,6e-07,8.76381e-07
3252,0.0001008,8.7935e-05,1.8e-06,2.11039e-06
3269,0.0001042,6.97195e-05,1.4e-06,1.95962e-06
3276,1.94e-05,1.99e-05,6e-07,8.76381e-07
3289,0.0001084,0.000183214,1.4e-06,2.74373e-06
3295,1.68e-05,3.29247e-05,0,0
3305,6e-06,1.17588e-05,0,0
3349,8.2e-06,1.25725e-05,0,0
3381,4.2e-06,8.23118e-06,0,0
3384,3.78e-05,5.37167e-05,1.2e-06,1.75276e-06
3414,2.28e-05,3.5703e-05,8e-07,1.23941e-06
3436,1.22e-05,2.39096e-05,0,0
3441,4.86e-05,3.47339e-05,8e-07,9.59944e-07
3483,6.4e-06,1.25427e-05,0,0
3529,0.0002238,9.72954e-05,3.6e-06,2.59832e-06
3551,4.36e-05,4.71876e-05,1.6e-06,1.91989e-06
3557,2.22e-05,2.47877e-05,2e-07,3.91961e-07
3558,5e-06,9.79902e-06,0,0
3560,4.48e-05,4.21723e-05,6e-07,8.76381e-07
3568,8.08e-05,6.56496e-05,2.4e-06,2.41553e-06
3578,6.5e-05,8.10918e-05,1.8e-06,2.50953e-06
3580,1.74e-05,2.44662e-05,6e-07,8.76381e-07
3588,0.0001434,8.82254e-05,2.6e-06,2.03562e-06
3617,7.4e-05,8.56613e-05,2e-06,2.82621e-06
3623,7.68e-05,8.33482e-05,2.2e-06,3.01039e-06
3634,2.94e-05,4.01004e-05,4e-07,7.83922e-07
3643,7.9e-05,0.000129064,2.8e-06,5.48745e-06
3658,2.6e-06,5.09549e-06,0,0
3659,6.56e-05,8.94829e-05,8e-07,1.56784e-06
3663,5.66e-05,7.14806e-05,2e-07,3.91961e-07
3700,1.58e-05,3.09649e-05,6e-07,1.17588e-06
3720,3.42e-05,3.52825e-05,2e-07,3.91961e-07
3730,1.42e-05,2.0927e-05,4e-07,5.54261e-07
3739,5.74e-05,7.67545e-05,2e-06,2.98487e-06
3742,6e-07,1.17588e-06,0,0
3757,8.6e-06,1.68543e-05,0,0
3758,4.38e-05,8.58394e-05,1.4e-06,2.74373e-06
3789,2.02e-05,2.16097e-05,0,0
3792,1.9e-05,3.19021e-05,0,0
3815,5.52e-05,4.02498e-05,6e-07,8.76381e-07
3818,0.0001272,6.50615e-05,3e-06,2.50865e-06
