cellID,SSB,statisticalError,DSB,statisticalError
5,3e-06,5.87941e-06,0,0
17,2.06e-05,4.0372e-05,4e-07,7.83922e-07
21,9.6e-06,1.88141e-05,6e-07,1.17588e-06
24,1.5e-05,2.39597e-05,2e-07,3.91961e-07
25,8.2e-06,1.60704e-05,2e-07,3.91961e-07
44,4.52e-05,4.18721e-05,4e-07,5.54261e-07
51,4.6e-06,9.0151e-06,0,0
78,1.76e-05,2.17143e-05,2e-07,3.91961e-07
95,0.0001044,6.43041e-05,1.6e-06,1.83811e-06
116,1.04e-05,1.37673e-05,8e-07,1.56784e-06
134,0.0002248,0.000109636,3.6e-06,3.085e-06
143,2.14e-05,3.08729e-05,6e-07,8.76381e-07
159,2e-06,3.91961e-06,0,0
172,2.6e-05,5.09549e-05,2.6e-06,5.09549e-06
217,0.0001086,9.98454e-05,2.2e-06,2.25104e-06
251,4.4e-06,6.58167e-06,0,0
277,7.8e-06,9.47875e-06,0,0
312,4e-06,7.83922e-06,2e-07,3.91961e-07
365,3.1e-05,5.55371e-05,1e-06,1.9598e-06
374,2.78e-05,4.48684e-05,6e-07,1.17588e-06
417,4.4e-06,8.62314e-06,0,0
451,0.00015,6.74303e-05,8e-07,7.83686e-07
452,6.8e-06,1.33267e-05,0,0
458,0.0002618,0.000132291,4.6e-06,3.2537e-06
468,2.18e-05,3.24453e-05,4e-07,7.83922e-07
498,1.02e-05,1.999e-05,2e-07,3.91961e-07
502,0.0001234,8.64703e-05,3e-06,3.43878e-06
534,7.6e-06,1.48945e-05,0,0
611,4.26e-05,4.26865e-05,1e-06,1.29982e-06
630,1.16e-05,2.27337e-05,2e-07,3.91961e-07
678,1.66e-05,3.25327e-05,1.2e-06,2.35176e-06
684,8e-06,1.20929e-05,2e-07,3.91961e-07
699,1.06e-05,1.5001e-05,0,0
720,1.94e-05,2.19069e-05,0,0
735,3.74e-05,5.05574e-05,1e-06,1.9598e-06
740,0.0001508,9.67901e-05,2.4e-06,2.65784e-06
765,3.8e-06,7.44726e-06,0,0
767,1.72e-05,3.37086e-05,6e-07,1.17588e-06
769,8.22e-05,5.74988e-05,4e-07,5.54261e-07
846,0.0002612,0.000155923,6e-06,4.60195e-06
886,5.2e-06,1.0191e-05,0,0
896,3.32e-05,4.77733e-05,2e-07,3.91961e-07
977,4.98e-05,6.18175e-05,1e-06,1.4131e-06
981,0.0001694,0.000229079,6.8e-06,9.48744e-06
1014,4.4e-06,8.62314e-06,0,0
1045,1.08e-05,1.59589e-05,0,0
1059,0.0001238,8.52907e-05,2e-06,2.07353e-06
1097,1.5e-05,1.8461e-05,2e-07,3.91961e-07
1111,7.8e-06,1.52865e-05,0,0
1153,5.4e-06,1.05829e-05,2e-07,3.91961e-07
1185,8.2e-06,1.60704e-05,2e-07,3.91961e-07
1331,5.2e-06,1.0191e-05,0,0
1337,0.0002402,0.000153423,9.2e-06,7.85544e-06
1353,7.16e-05,9.98657e-05,1.2e-06,2.35176e-06
1357,0.0001702,8.45614e-05,6.6e-06,5.87715e-06
1406,3.22e-05,4.73977e-05,4e-07,7.83922e-07
1457,4e-05,7.83922e-05,1.2e-06,2.35176e-06
1496,2.5e-05,2.86613e-05,0,0
1573,8.4e-05,8.78856e-05,1.4e-06,2.11063e-06
1604,9e-06,1.76382e-05,0,0
1620,6.78e-05,8.69604e-05,1e-06,1.4131e-06
1679,0.000168,7.8342e-05,1.6e-06,1.3572e-06
1704,0.0015762,0.000461905,4.48e-05,1.80148e-05
1705,0.0001692,0.000148396,4.2e-06,6.33188e-06
1721,3.1e-05,4.71643e-05,1.6e-06,2.7715e-06
1832,5.4e-06,1.05829e-05,0,0
1971,6.88e-05,4.34472e-05,8e-07,9.59944e-07
2037,4.72e-05,4.71784e-05,2.6e-06,3.34847e-06
2043,1.72e-05,2.3859e-05,6e-07,1.17588e-06
2055,5.5e-05,0.000107789,2.2e-06,4.31157e-06
2065,1.1e-05,2.15578e-05,4e-07,7.83922e-07
2090,5.28e-05,4.06813e-05,1.2e-06,1.46635e-06
2108,6.6e-06,1.29347e-05,0,0
2109,2e-07,3.91961e-07,0,0
2117,1.6e-05,2.21981e-05,0,0
2155,7.58e-05,5.86119e-05,2e-06,2.82621e-06
2156,3.8e-06,5.82655e-06,0,0
2173,7.6e-06,1.48945e-05,2e-07,3.91961e-07
2179,0.0001292,8.65713e-05,3.4e-06,3.34792e-06
2198,4.4e-06,8.62314e-06,2e-07,3.91961e-07
2199,4.8e-06,6.39194e-06,0,0
2203,9.62e-05,6.44846e-05,1.4e-06,1.61579e-06
2211,6e-06,1.17588e-05,0,0
2251,0.0003944,0.000182559,8.4e-06,7.53667e-06
2277,5.6e-06,1.09749e-05,0,0
2285,4.3e-05,3.58069e-05,8e-07,9.59944e-07
2295,3.5e-05,2.50784e-05,0,0
2310,0.0001404,7.5147e-05,2e-06,2.28506e-06
2381,9e-06,1.76382e-05,2e-07,3.91961e-07
2386,2.8e-06,5.48745e-06,4e-07,7.83922e-07
2414,1.58e-05,1.97863e-05,0,0
2431,2.6e-06,5.09549e-06,0,0
2437,0.0001014,0.000187332,2.6e-06,5.09549e-06
2439,2e-06,2.7713e-06,0,0
2440,1.34e-05,1.85698e-05,0,0
2443,9.78e-05,0.000110414,1.4e-06,2.74373e-06
2453,6.38e-05,4.3057e-05,2e-06,2.28506e-06
2466,8.04e-05,7.04616e-05,3.4e-06,4.58727e-06
2468,4.58e-05,4.18331e-05,1.4e-06,2.38413e-06
2473,9.36e-05,9.25454e-05,2.4e-06,2.9327e-06
2496,1.14e-05,1.39386e-05,6e-07,1.17588e-06
2498,1.08e-05,2.11659e-05,0,0
2532,6e-06,1.17588e-05,4e-07,7.83922e-07
2543,3.5e-05,4.68221e-05,4e-07,5.54261e-07
2568,0.0001268,7.65029e-05,2.8e-06,2.14567e-06
2575,5.84e-05,4.90187e-05,4e-07,7.83922e-07
2583,5.76e-05,4.03654e-05,1.2e-06,1.10824e-06
2591,2.8e-06,5.48745e-06,0,0
2594,3.6e-06,7.05529e-06,2e-07,3.91961e-07
2597,3.22e-05,3.91957e-05,1e-06,1.4131e-06
2599,5.8e-06,1.13669e-05,0,0
2606,3.3e-05,2.66662e-05,4e-07,7.83922e-07
2612,3e-06,5.87941e-06,0,0
2629,1.26e-05,1.94592e-05,0,0
2657,4.3e-05,5.66894e-05,1.4e-06,2.74373e-06
2658,4.2e-06,8.23118e-06,0,0
2668,0.0001348,7.37201e-05,4.2e-06,3.73763e-06
2677,2.3e-05,2.55984e-05,2e-07,3.91961e-07
2678,0.000386,0.000241196,1.28e-05,9.53117e-06
2714,3.6e-06,7.05529e-06,0,0
2718,1.8e-06,3.52765e-06,0,0
2727,5e-06,9.79902e-06,0,0
2747,3.7e-05,4.34646e-05,4e-07,5.54261e-07
2836,1.82e-05,2.21032e-05,4e-07,5.54261e-07
2847,2.4e-06,3.18393e-06,0,0
2856,1.18e-05,1.75496e-05,2e-07,3.91961e-07
2858,2.82e-05,5.52665e-05,8e-07,1.56784e-06
2859,7.22e-05,4.71883e-05,6e-07,8.76381e-07
2863,0.000104,7.88981e-05,3.2e-06,3.08534e-06
2911,1.62e-05,1.71214e-05,0,0
2923,1.42e-05,2.744e-05,4e-07,7.83922e-07
2940,4.18e-05,4.26943e-05,2e-07,3.91961e-07
2953,1.78e-05,2.71003e-05,6e-07,1.17588e-06
2988,3.38e-05,3.52e-05,1.2e-06,1.75276e-06
3022,7.8e-06,1.14736e-05,2e-07,3.91961e-07
3071,7.2e-06,1.41106e-05,0,0
