cellID,DSBDimension
14,0.501114
17,0.784838
17,0.784838
30,1.46119
30,0
30,0.96294
30,2.59156
30,0.579106
30,4.75417
30,2.83985
30,2.61936
30,2.14032
95,0.503489
95,0.778736
95,0.178203
95,0.803316
95,1.78956
116,0.791171
116,1.73126
116,2.45202
116,0.407103
116,1.0647
116,0
116,5.08534
116,0.885943
116,0.657364
116,2.55755
116,2.55755
116,2.55755
116,2.52521
116,1.22398
116,1.56072
206,1.61603
206,0.734531
206,1.49352
206,1.59039
206,1.59039
206,0
206,2.60715
206,0.215418
214,4.86325
214,2.5132
214,2.15325
214,0.974782
214,1.35066
214,1.86638
214,2.42417
214,1.46639
214,2.57921
225,0.546755
225,1.1603
225,2.02986
225,1.90369
225,0.106439
225,0.737317
225,3.07979
225,3.9108
225,3.19817
225,0.697261
225,2.45204
225,1.63804
225,1.04775
296,1.48762
296,0.695923
296,1.94714
296,0.361487
296,2.28966
296,2.28966
296,0.361487
296,1.42411
296,1.94714
296,2.47762
296,2.56101
296,1.43859
296,0.101729
296,0.81644
314,0
314,2.6628
314,1.95792
314,1.93638
314,0
314,0.674782
314,2.52332
314,2.52332
314,2.52332
314,2.52332
314,0.351223
314,2.13841
314,0.169325
314,1.96902
314,2.86232
314,2.82954
314,2.91736
314,3.13697
314,1.80801
314,1.24083
314,1.15846
314,1.80801
314,0.325596
314,0
314,0.656663
314,0.422534
314,2.96987
314,0.0565479
314,2.13906
314,2.62962
314,1.95182
314,0.0683785
314,1.75621
314,0.06177
344,1.41437
344,0.58141
344,3.03814
344,3.08569
344,1.93099
344,0.58141
344,0.429056
344,1.41437
344,1.46561
344,1.00873
344,1.46561
344,1.39742
344,0.678836
344,1.39742
344,0.524609
344,1.54682
344,2.01629
344,2.05036
344,0.35649
344,0.35649
344,0.35649
344,0.477272
344,1.7129
344,3.12258
349,5.40925
349,2.59325
349,1.26223
349,2.29373
370,3.08401
370,0.792306
370,1.37355
370,2.10668
370,2.61072
370,3.09536
370,1.03029
370,0
370,1.53558
401,2.40133
401,2.84367
401,1.13426
401,4.55554
410,0
410,2.82646
410,0.787132
410,0.787132
410,2.38163
410,0.787132
410,2.57521
410,0.787132
410,0
410,3.42982
410,2.747
410,1.34139
410,2.747
410,2.90389
410,0.962667
410,0.449411
410,2.41943
410,0.565013
410,1.81933
410,0.565013
410,1.1928
410,0
410,1.82431
410,0.102145
410,0
452,1.08797
452,2.6787
452,1.82302
452,0.463485
452,1.58852
452,2.44005
452,0.0941935
452,0.505454
452,3.10481
452,1.80635
452,2.87694
452,3.04431
452,2.41588
452,2.47706
452,4.11803
452,0.141901
452,2.91615
452,2.01006
452,1.77446
452,3.13873
452,1.25667
452,2.18889
452,1.68883
452,1.07203
452,2.53907
452,2.66644
452,1.38158
452,1.07203
452,0.850306
452,2.37244
452,1.61983
452,0.748214
452,0
452,0.967934
452,2.13605
452,2.90425
452,0.771043
452,0.619472
452,2.71051
452,0.658245
452,1.74308
452,0.940621
452,2.42506
452,0.619472
452,0.658245
452,0.658245
452,2.15274
452,0.526878
452,0.713849
452,2.08855
452,0.843627
452,1.92414
452,2.09815
452,3.17404
452,2.49335
