cellID,totalCellDose,statisticalError,nucleusDose,statisticalError
5,4.97903e-09,9.75792e-09,3.98322e-08,7.80633e-08
17,2.33325e-08,3.36653e-08,1.8666e-07,2.69322e-07
149,5.93754e-08,8.47373e-08,7.74397e-08,1.51767e-07
279,7.67484e-09,1.50412e-08,6.13987e-08,1.20329e-07
407,4.86431e-09,8.72108e-09,3.89145e-08,6.97686e-08
410,1.41755e-07,1.68226e-07,5.67306e-07,7.74467e-07
517,1.60378e-09,3.1431e-09,1.28303e-08,2.51448e-08
522,7.7078e-08,6.1525e-08,4.1869e-07,3.83684e-07
581,7.60693e-09,1.49081e-08,6.08554e-08,1.19265e-07
657,5.7153e-08,5.64965e-08,3.34946e-07,3.83293e-07
778,9.1411e-08,1.62458e-07,6.99694e-08,9.71429e-08
815,3.95808e-08,5.79931e-08,1.03929e-07,2.0368e-07
1043,7.997e-08,1.09707e-07,1.58899e-08,2.24765e-08
1092,1.26759e-07,1.87251e-07,5.29445e-07,5.89404e-07
1204,5.99245e-08,8.81407e-08,2.01638e-07,2.03778e-07
1226,1.14913e-08,2.25207e-08,9.19305e-08,1.80166e-07
1340,1.72848e-08,2.71199e-08,1.38279e-07,2.16959e-07
1406,1.61673e-07,1.94552e-07,8.31473e-07,9.88119e-07
1637,1.13297e-07,1.2491e-07,1.53081e-07,2.1234e-07
1716,2.30505e-08,3.22599e-08,1.05281e-07,2.0633e-07
1791,1.91898e-08,3.23367e-08,1.45642e-07,2.58236e-07
2198,1.80784e-08,2.64989e-08,4.73733e-08,9.28423e-08
2248,5.93614e-09,1.16337e-08,4.74891e-08,9.30694e-08
2290,6.98706e-08,1.08969e-07,1.19608e-07,1.36449e-07
2332,1.55473e-08,2.2616e-08,1.24378e-07,1.80928e-07
3204,2.74104e-07,4.25998e-07,1.30111e-06,2.40788e-06
3807,1.17494e-08,2.30265e-08,0,0
3919,1.28588e-08,1.79236e-08,4.58213e-08,8.98007e-08
3934,1.23186e-08,1.76235e-08,3.66183e-08,7.17647e-08
3953,5.31212e-08,6.30335e-08,2.00483e-07,2.46577e-07
3960,7.03137e-08,8.12617e-08,3.67939e-07,5.26619e-07
4065,2.43138e-08,4.55182e-08,2.49022e-08,3.58704e-08
4067,1.05792e-07,1.49833e-07,1.20433e-07,1.78949e-07
4073,4.41333e-08,7.52274e-08,5.0088e-08,9.81626e-08
4082,1.29478e-07,1.84908e-07,6.23135e-08,8.973e-08
4109,1.54712e-07,2.39506e-07,1.48327e-07,2.90692e-07
4110,1.45489e-08,2.38008e-08,1.16391e-07,1.90407e-07
4127,1.21243e-07,2.37612e-07,0,0
4130,1.65288e-07,1.45712e-07,2.09369e-07,2.8413e-07
4140,2.3057e-09,4.51873e-09,1.84456e-08,3.61498e-08
4157,1.31246e-08,1.83912e-08,1.04997e-07,1.4713e-07
4161,7.84834e-09,1.53812e-08,6.27868e-08,1.2305e-07
4194,9.4932e-08,1.50589e-07,1.70306e-07,3.33766e-07
4215,1.80257e-07,3.39099e-07,5.90942e-08,1.15813e-07
4216,1.90876e-07,2.6287e-07,0,0
4223,4.5287e-09,8.87536e-09,3.62296e-08,7.10029e-08
4249,1.02123e-07,1.04376e-07,4.61556e-07,6.46772e-07
4250,6.92518e-08,7.6532e-08,2.48183e-07,2.98275e-07
4257,4.22823e-08,7.57415e-08,7.00923e-08,9.79061e-08
4266,3.17082e-07,3.27773e-07,1.10673e-07,1.59486e-07
4286,4.5704e-08,3.86558e-08,3.11444e-07,2.90484e-07
4289,3.17876e-08,3.69182e-08,1.24573e-07,1.50385e-07
4293,2.31163e-08,3.20919e-08,0,0
4295,3.34747e-08,3.46006e-08,2.67797e-07,2.76805e-07
4309,5.47484e-08,7.75852e-08,1.7544e-07,2.04285e-07
4340,3.95601e-08,5.38619e-08,2.05519e-07,2.66141e-07
4349,7.70505e-08,1.07346e-07,4.82005e-07,7.79837e-07
4353,5.01966e-09,9.83756e-09,4.01573e-08,7.87005e-08
4354,1.78641e-08,2.88128e-08,1.42913e-07,2.30503e-07
4355,1.08378e-07,1.45127e-07,9.77642e-08,1.50622e-07
4356,1.51275e-08,1.94983e-08,1.2102e-07,1.55986e-07
4358,7.15027e-08,1.01608e-07,3.61737e-08,7.08934e-08
4361,1.56698e-07,1.74171e-07,1.16205e-07,1.66638e-07
4365,6.21813e-08,1.00461e-07,1.47204e-07,1.76302e-07
4370,3.09713e-08,4.60657e-08,7.55637e-08,1.4809e-07
4371,1.38445e-07,1.88137e-07,2.14504e-07,2.18459e-07
4375,6.6719e-08,1.026e-07,1.13595e-08,2.22624e-08
4376,1.0239e-07,1.53582e-07,2.18495e-07,3.8603e-07
4377,2.99871e-09,5.87688e-09,2.39897e-08,4.7015e-08
4378,2.03642e-08,3.99098e-08,1.62913e-07,3.19278e-07
4381,1.88948e-08,3.703e-08,0,0
4382,1.3116e-07,1.27253e-07,7.11533e-07,9.16171e-07
4387,1.25898e-07,1.70246e-07,5.71056e-07,9.44106e-07
4389,1.29518e-08,1.81114e-08,1.03614e-07,1.44891e-07
4392,2.89708e-07,4.3635e-07,2.67376e-07,3.32684e-07
4397,1.96725e-08,2.41797e-08,7.4769e-08,1.05903e-07
4398,1.2458e-07,2.24965e-07,8.06963e-08,1.29835e-07
4400,9.73453e-08,9.70977e-08,1.86231e-07,1.8153e-07
4402,8.4147e-09,1.64912e-08,6.73176e-08,1.31929e-07
4405,4.49655e-08,7.66302e-08,1.351e-07,1.92667e-07
4407,7.16933e-08,6.12291e-08,1.857e-07,2.12847e-07
4411,7.81572e-08,1.03093e-07,7.70791e-08,1.09853e-07
4413,2.35048e-08,3.73906e-08,1.88038e-07,2.99125e-07
4414,4.99573e-08,6.02412e-08,2.0059e-07,2.83041e-07
4418,9.36825e-08,7.40674e-08,5.00211e-07,3.82492e-07
4425,2.3446e-08,3.38958e-08,0,0
4432,2.74939e-08,3.91939e-08,8.34007e-08,1.63449e-07
4435,5.27384e-08,7.32647e-08,0,0
4436,2.33039e-07,2.28385e-07,3.37623e-08,6.61674e-08
4438,3.05543e-09,5.98805e-09,2.44435e-08,4.79044e-08
4442,1.51596e-07,1.84308e-07,2.52104e-07,2.46999e-07
4445,2.222e-08,3.97669e-08,1.62408e-08,3.18287e-08
4446,4.09901e-08,3.9838e-08,2.51404e-07,2.81273e-07
4447,6.70509e-08,6.67041e-08,1.71513e-07,3.36132e-07
4449,7.56968e-09,1.48351e-08,6.05574e-08,1.18681e-07
4454,1.87031e-08,2.59174e-08,1.49625e-07,2.07339e-07
4457,1.58181e-07,2.92177e-07,4.06708e-07,6.6628e-07
4458,2.63003e-07,3.35665e-07,0,0
