cellID,totalCellDose,statisticalError,nucleusDose,statisticalError
328,3.11674e-08,4.05855e-08,9.92985e-08,1.37757e-07
339,2.29451e-07,2.04132e-07,3.56238e-07,3.32601e-07
343,6.90425e-09,1.3531e-08,5.5234e-08,1.08248e-07
345,2.00104e-08,3.30635e-08,1.60083e-07,2.64508e-07
346,2.64905e-07,3.88034e-07,1.28058e-06,1.74028e-06
349,1.63719e-07,1.96667e-07,1.75656e-07,2.35045e-07
363,4.28113e-08,6.9798e-08,3.4249e-07,5.58384e-07
367,2.04258e-07,1.40656e-07,7.58039e-07,6.18734e-07
371,5.21808e-08,1.02264e-07,4.17447e-07,8.18114e-07
376,6.97298e-07,6.04432e-07,3.67461e-07,2.70565e-07
377,2.29014e-08,4.32741e-08,4.07616e-08,6.80465e-08
379,1.38826e-09,2.72072e-09,1.11061e-08,2.17657e-08
384,6.9445e-09,1.36098e-08,5.5556e-08,1.08879e-07
386,2.33636e-08,4.57881e-08,1.86909e-07,3.66305e-07
389,2.55735e-07,2.00025e-07,9.23562e-07,8.87461e-07
395,1.40504e-07,1.47371e-07,2.58396e-07,3.23273e-07
397,6.57358e-09,1.28829e-08,5.25886e-08,1.03063e-07
400,5.7798e-07,4.92819e-07,1.69525e-06,1.54621e-06
406,3.45197e-07,2.67242e-07,5.67048e-07,7.45525e-07
408,1.11609e-07,2.18732e-07,3.98648e-08,7.81272e-08
409,2.38538e-07,4.13587e-07,9.08642e-08,1.26334e-07
410,2.20946e-08,2.27987e-08,1.76757e-07,1.8239e-07
411,4.02414e-07,3.49969e-07,7.54499e-07,5.50703e-07
412,5.77985e-09,1.13274e-08,4.62388e-08,9.0619e-08
413,3.32937e-08,5.10309e-08,7.02169e-08,1.37611e-07
415,9.93801e-08,8.89472e-08,7.75986e-08,1.16024e-07
419,3.36182e-08,5.36319e-08,6.72753e-08,1.14727e-07
422,5.62499e-07,4.5518e-07,9.30752e-07,4.42273e-07
424,3.59202e-08,3.90546e-08,1.81859e-07,2.34295e-07
428,6.58001e-08,8.97414e-08,1.75043e-07,2.03367e-07
434,6.48548e-09,1.27103e-08,5.18839e-08,1.01682e-07
435,7.1418e-09,1.39965e-08,0,0
437,1.86955e-07,2.35148e-07,6.08583e-07,7.1933e-07
439,5.69403e-08,8.47837e-08,1.3819e-07,2.70826e-07
446,1.84035e-07,1.68999e-07,5.42871e-07,3.48238e-07
450,2.30205e-07,2.66042e-07,6.97552e-07,5.41206e-07
452,1.40644e-07,1.15112e-07,2.75278e-07,2.41926e-07
460,3.28996e-07,1.88705e-07,1.19334e-06,7.44751e-07
462,8.0281e-08,1.01997e-07,8.32073e-08,1.12468e-07
464,2.90321e-08,5.68973e-08,3.26273e-08,6.39432e-08
465,1.46116e-08,2.86359e-08,1.16893e-07,2.29087e-07
466,1.155e-09,2.26358e-09,9.24004e-09,1.81087e-08
469,5.24641e-07,3.22612e-07,5.36159e-07,3.59517e-07
470,2.92713e-07,1.94785e-07,8.91751e-07,4.93457e-07
481,7.95179e-09,1.5584e-08,6.36143e-08,1.24672e-07
483,2.28009e-09,4.46854e-09,1.82408e-08,3.57483e-08
484,3.57042e-07,5.36395e-07,1.14603e-06,1.77399e-06
487,3.8591e-07,2.98628e-07,1.12989e-06,1.12913e-06
491,1.71187e-08,2.61474e-08,1.3695e-07,2.0918e-07
495,5.62086e-08,8.80154e-08,1.06518e-07,2.08754e-07
496,6.23671e-09,9.35741e-09,4.98937e-08,7.48593e-08
497,1.3316e-08,2.60968e-08,0,0
499,1.43556e-07,2.47833e-07,5.84614e-07,9.03971e-07
507,8.74367e-08,8.50019e-08,3.73075e-07,3.95231e-07
509,5.08388e-08,6.40556e-08,1.60995e-07,2.3247e-07
511,7.28896e-08,1.42849e-07,2.97556e-07,5.83152e-07
513,1.05909e-07,8.69041e-08,4.80874e-07,4.99423e-07
514,1.70161e-07,1.46039e-07,1.06806e-08,2.09318e-08
519,4.57289e-08,4.79986e-08,2.07765e-07,2.27014e-07
522,9.35009e-08,1.83243e-07,0,0
525,8.84106e-08,1.13547e-07,1.82696e-07,1.95502e-07
527,8.83841e-09,1.02779e-08,7.07073e-08,8.22232e-08
534,6.65239e-08,5.69878e-08,3.15152e-07,2.44792e-07
535,8.53583e-08,7.49005e-08,2.35214e-07,2.59838e-07
536,1.37024e-08,1.70185e-08,1.09619e-07,1.36148e-07
537,1.66982e-07,2.92877e-07,1.4317e-07,1.62578e-07
538,4.1275e-07,4.96018e-07,3.06141e-07,4.26681e-07
543,1.15017e-08,1.65924e-08,9.20134e-08,1.32739e-07
545,2.67569e-07,4.91505e-07,7.35779e-07,1.18763e-06
547,1.62225e-07,1.80054e-07,1.07836e-06,1.40302e-06
548,4.9494e-08,8.80103e-08,6.85846e-08,9.58456e-08
550,6.1192e-09,1.19924e-08,4.89536e-08,9.59394e-08
556,7.15763e-08,8.10746e-08,1.23797e-07,1.81536e-07
557,1.1386e-08,1.59162e-08,3.94813e-08,7.73757e-08
558,1.62225e-08,2.40844e-08,3.99343e-08,7.82634e-08
559,8.59188e-08,1.68384e-07,1.46121e-07,2.86368e-07
560,7.25886e-09,1.42259e-08,5.80709e-08,1.13808e-07
561,1.70525e-08,3.34195e-08,0,0
562,1.0118e-08,1.98292e-08,8.09437e-08,1.58634e-07
566,8.25109e-08,7.28481e-08,1.86806e-07,2.224e-07
568,2.96578e-07,1.93249e-07,5.07142e-07,3.81348e-07
569,5.83658e-08,9.8305e-08,0,0
578,1.35918e-07,1.39967e-07,4.55081e-07,3.88193e-07
587,2.40319e-08,2.81048e-08,1.92255e-07,2.24838e-07
588,4.46208e-08,5.95702e-08,3.56966e-07,4.76562e-07
589,8.5489e-09,1.67542e-08,6.83912e-08,1.34033e-07
590,2.15235e-07,3.59363e-07,1.40253e-07,1.59905e-07
593,2.48773e-08,3.61155e-08,1.99018e-07,2.88924e-07
596,8.76346e-08,1.12744e-07,3.21793e-07,3.64851e-07
601,3.94069e-08,5.12857e-08,1.85097e-07,3.21408e-07
602,6.30733e-08,9.57033e-08,3.10769e-07,4.01869e-07
606,1.33811e-07,1.61676e-07,9.67549e-08,1.35302e-07
608,5.57314e-08,5.33087e-08,3.15353e-07,3.41366e-07
612,3.53278e-07,6.92356e-07,0,0
614,5.99278e-08,6.19005e-08,2.6494e-07,2.61966e-07
618,9.56014e-09,1.8736e-08,7.64811e-08,1.49888e-07
627,3.99961e-08,5.88997e-08,8.85088e-08,1.27637e-07
629,1.42625e-07,1.95255e-07,1.11281e-07,1.38353e-07
635,1.57523e-07,2.26005e-07,3.59093e-07,7.03751e-07
636,1.57233e-07,2.52552e-07,1.19091e-07,1.4406e-07
638,2.20471e-08,3.52401e-08,7.52103e-08,1.04216e-07
643,2.83723e-08,3.01053e-08,2.26979e-07,2.40842e-07
644,3.35326e-08,3.8123e-08,1.84561e-07,1.83378e-07
645,2.78481e-07,1.8227e-07,1.00982e-06,5.98497e-07
646,1.00378e-08,1.42208e-08,8.03025e-08,1.13766e-07
654,9.81703e-09,1.92395e-08,7.85362e-08,1.53916e-07
659,1.96517e-07,2.40371e-07,4.67158e-07,3.83926e-07
663,2.37004e-07,2.08009e-07,5.08473e-07,3.49263e-07
669,4.2565e-07,4.63907e-07,1.89041e-06,1.93863e-06
671,1.49915e-08,2.54158e-08,1.19932e-07,2.03327e-07
672,1.83931e-07,1.19148e-07,6.06086e-07,4.99455e-07
677,2.07222e-07,2.69682e-07,2.46091e-07,1.91046e-07
681,5.23497e-07,4.64065e-07,1.36138e-06,1.66724e-06
683,7.38624e-07,3.95242e-07,1.18214e-06,8.74154e-07
700,1.48401e-07,2.90837e-07,6.37239e-07,1.24886e-06
705,2.42505e-08,3.46369e-08,7.27574e-08,1.4259e-07
