cellID,DSBDimension
64,0.00578018
64,1.91321
64,0.343817
64,0.476949
64,0.242061
64,1.5291
64,0.294041
64,0.242061
64,0.294041
64,1.71175
64,0.294041
64,2.13976
121,1.46517
123,1.1937
123,0
123,1.1937
123,1.26668
132,2.66339
132,0.388801
132,2.97628
132,2.39967
299,2.79285
299,2.76208
299,1.13267
299,1.7644
299,2.22629
299,0.6797
299,0.578202
305,2.69507
305,1.51204
305,2.69507
305,3.10726
385,2.61645
385,1.59821
410,1.00861
410,3.02321
410,2.86203
410,1.57981
410,1.57981
410,2.4177
410,2.4177
410,1.31744
423,1.0928
423,2.53289
423,0.349647
544,1.8689
544,1.8689
544,0.929864
544,2.59805
544,1.74792
544,1.8689
544,2.59805
544,1.12869
544,2.41102
544,2.3267
544,0.929864
544,2.3267
544,0.929864
544,2.52523
544,0.464897
544,2.65169
546,3.10451
546,0.93105
546,2.21889
546,1.47843
546,2.85408
546,0.230463
546,0
546,0.472527
546,1.07286
546,2.80634
581,2.6497
581,1.31585
581,1.31585
581,1.31585
603,0
603,2.38431
603,3.90517
633,0
687,2.07968
687,2.07968
687,2.07968
687,2.26906
687,1.22711
687,2.81867
687,1.72191
1014,1.0913
1014,2.67831
1014,1.37964
1014,2.99238
1064,2.96648
1180,2.75948
1249,3.32569
1249,0.343252
1249,1.35493
1249,0.141696
1249,1.56305
1249,0.98635
1249,2.03196
1348,2.33211
1348,2.25555
1348,3.33859
1348,1.17598
1348,2.86575
1348,3.07075
1348,0.331517
1348,1.12064
1348,3.75401
1348,1.72482
1348,1.60728
1348,2.47425
1348,0.850896
1375,2.64683
1375,2.37612
1375,1.00433
1375,1.46245
1375,1.41145
1375,2.3953
1375,1.84186
1375,1.83951
1375,3.85468
1375,2.44376
1413,2.4702
1620,0.791608
1620,4.30875
1625,1.02388
1625,2.01967
1625,0.0760295
1720,0.296781
1720,2.93471
1720,1.78448
2078,0
2078,0
2078,0
2078,0.316078
2163,2.67225
2163,1.38539
2163,2.10486
2163,1.29788
2163,2.65945
2163,1.84813
2163,0.705784
2163,1.84865
2163,1.86304
