cellID,DSBDimension
17,2.48333
17,2.48333
21,0.752867
21,2.90798
21,2.91225
24,0.629294
25,0.759911
44,0.732497
44,0.314422
78,0.409051
95,1.69493
95,1.47703
95,0.69367
95,1.69493
95,0
95,1.65736
95,0.903841
95,1.69976
116,2.18033
116,2.18033
116,0
116,2.90542
134,1.31043
134,1.89483
134,1.3529
134,0.206544
134,3.1802
134,0.123403
134,1.35497
134,3.1496
134,3.1496
134,2.61467
134,1.87242
134,1.22984
134,4.90806
134,2.30711
134,1.50254
134,1.27013
134,2.86146
134,1.59274
143,2.95203
143,1.98921
143,2.10667
172,3.01862
172,2.91684
172,2.3885
172,2.80434
172,1.19173
172,0.754919
172,1.429
172,3.26891
172,2.3885
172,0.922927
172,2.3885
172,0.922927
172,0.922927
217,2.58766
217,0.0814413
217,1.45045
217,1.19967
217,1.19967
217,1.64352
217,1.52748
217,1.64423
217,1.49384
217,1.64423
217,1.28076
312,1.13069
365,1.20251
365,0.125304
365,1.20251
365,1.54338
365,0.60867
374,2.52866
374,0.449804
374,1.5748
451,0.513057
451,1.61079
451,0.38813
451,0.642812
458,0.886807
458,2.93567
458,1.79234
458,0.297298
458,1.70452
458,2.00145
458,0.509101
458,0.932549
458,1.95103
458,2.56006
458,1.08439
458,1.6037
458,0.399179
458,3.17983
458,1.39077
458,1.6015
458,2.57264
458,1.79673
458,2.57264
458,1.79673
458,1.6356
458,2.26082
458,3.1852
468,0.689184
468,0.543253
498,1.58356
502,0.690102
502,2.52139
502,4.1872
502,2.46658
502,3.56118
502,1.58246
502,2.46658
502,2.23273
502,2.34788
502,2.34788
502,0
502,2.76779
502,2.64972
502,2.58206
502,1.44806
611,1.81073
611,2.24529
611,1.69265
611,1.97017
611,0
630,0
678,1.53005
678,2.52536
678,1.73112
678,2.25933
678,1.29643
678,2.78797
684,0
735,0.895386
735,3.56146
735,2.95323
735,0.894267
735,4.16726
740,0.816236
740,0.816236
740,0.556185
740,2.95601
740,3.11475
740,2.19143
740,2.24197
740,1.84542
740,1.12152
740,2.90256
740,1.20065
740,0.217577
767,2.55375
767,0.822616
767,1.87985
769,0.223277
769,1.60401
846,2.87852
846,2.02057
846,0.427882
846,0.121636
846,1.12013
846,1.96999
846,2.89532
846,0.37564
846,2.22455
846,0.494049
846,2.56199
846,5.72786
846,0.203803
846,9.20343
846,2.71759
846,1.73286
846,1.39158
846,0.2549
846,2.15661
846,0.723478
846,1.98179
846,0.932847
846,0.846105
846,0.857324
846,2.98906
846,0.113247
846,1.19152
846,2.26284
846,0.113247
846,2.02552
896,1.0768
977,3.6306
977,2.80291
977,1.69378
977,2.22172
977,1.30318
981,1.33523
981,3.80048
981,3.0674
981,1.32804
981,1.79696
981,2.92122
981,0
981,2.65255
981,3.80048
981,5.27538
981,2.15023
981,3.80048
981,0.380187
981,2.65255
981,3.0674
981,0
981,1.75943
981,0.176269
981,2.32852
981,3.14267
981,3.14267
981,0.892663
981,2.19178
981,3.14267
981,3.14267
981,3.14267
981,0.172933
981,2.86768
981,3.14267
981,2.81075
981,3.14267
981,2.81075
981,1.98517
981,0.172933
1059,3.14536
1059,2.62788
1059,2.58613
1059,0.52725
1059,1.5026
1059,3.37218
1059,0.983259
1059,3.1252
1059,3.1252
1059,2.83241
1097,1.49819
1153,0.719057
1185,0
1337,2.31986
1337,2.09286
1337,2.09286
1337,2.09286
1337,0.421075
1337,3.55798
1337,1.12991
1337,1.60126
1337,1.787
1337,1.93112
1337,1.40486
1337,1.30113
1337,1.93112
1337,0.463241
1337,1.97312
1337,2.69657
1337,4.3469
1337,0.463241
1337,1.61681
1337,0.367975
1337,3.05382
1337,3.08142
1337,1.78081
1337,2.45193
1337,0.253824
1337,2.6352
1337,0.910368
1337,2.38452
1337,1.07455
1337,3.36474
1337,2.50001
1337,2.50001
1337,1.34716
1337,2.4458
1337,0.789624
1337,0.671003
1337,0.535489
1337,0.535489
1337,1.31626
1337,1.49547
1337,0
1337,1.39573
1337,1.39573
1337,1.39573
1337,0.0373783
1337,0.996125
1353,1.27226
1353,3.06486
1353,0.0159006
1353,1.27226
1353,2.3828
1353,2.40843
1357,2.07459
1357,1.93697
1357,2.22311
1357,4.64711
1357,1.93697
1357,2.42445
